gene_accession,CAC04u_t2_M_AB,CAC04e_t2_M_AB,CAC05u_t2_M_AB,CAC05e_t2_M_AB,CAC02u_t2_M_MB,CAC03u_t2_M_MB,CAC02e_t2_M_MB,CAC01u_t2_M_AB,CAC01e_t2_M_AB,CAC03e_t2_M_MB
MEG_7883/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB/RequiresSNPConfirmation,29,20,0,0,9,0,35,22,84,101
MEG_3912/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXF,0,41,0,0,0,0,0,0,0,0
MEG_7062/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,75,37,38,55,65,26,27,22,36,32
MEG_2653/Metals/Copper_resistance/Copper_resistance_protein/DNAK,231,220,113,132,273,166,212,256,536,165
MEG_3240/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,64,0,0,30,81,0,0,130,134,54
MEG_6141/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/RPOS,32,10,0,0,30,7,26,24,37,68
MEG_5391/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,31,29,0,0,45,0,0,63,84,40
MEG_2086/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,14,0,0,6,3,8,8,0,14,14
MEG_3657/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/MACA,0,0,0,0,0,0,0,0,0,54
MEG_7857/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUB,0,0,0,0,16,0,11,0,24,9
MEG_3893/Metals/Mercury_resistance/Mercury_resistance_protein/MERT,0,0,0,0,0,0,0,0,5,0
MEG_8101/Drugs/Metronidazole/fxr_nitroimidazole_reductase/FXRA/RequiresSNPConfirmation,0,0,0,0,16,0,0,0,0,0
MEG_3080/Biocides/Acid_resistance/Acid_resistance_regulator/GADE,12,0,0,0,2,7,12,0,0,8
MEG_1166/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSDM,0,0,0,0,0,0,6,8,2,20
MEG_401/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB,170,20,5,29,36,34,41,39,107,165
MEG_7209/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,10,4,6,0,12,12,2,0,14,20
MEG_6955/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERB,0,0,0,0,0,0,0,0,6,10
MEG_6107/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,366,236,236,237,254,184,295,237,351,471
