gene_accession,CAS09e_t2_M_AB,CAS08e_t2_M_AB,CAS07e_t2_M_AB,CAS09u_t2_M_AB,CAS08u_t2_M_AB,CAS07u_t2_M_AB,CAS10u_t2_M_AB,CAS06u_t2_M_AB,CAS10e_t2_M_AB,CAS06e_t2_M_AB
MEG_3140/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/GLPF,0,21,4,22,0,2,0,12,11,4
MEG_7142/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,19,13,36,29,26,81,21,20,21,30
MEG_7136/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,12,8,39,24,26,53,25,27,14,23
MEG_5400/Drugs/betalactams/Penicillin_binding_protein/PBP2,0,120,55,216,0,33,75,75,114,100
MEG_6911/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_7163/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,4,4,26,8,20,24,8,8,9,8
MEG_4287/Drugs/Multi_drug_resistance/MDR_mutant_porin_proteins/OMPF/RequiresSNPConfirmation,0,28,11,62,4,20,12,40,26,14
MEG_730/Drugs/betalactams/Penicillin_binding_protein/AMPH,0,20,2,81,0,17,16,20,34,34
MEG_3830/Drugs/MLS/MLS_resistance_MFS_efflux_pumps/MEFE,5,0,0,0,0,0,0,0,0,0
MEG_7211/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,2,40,16,35,31,16,41,20,12
MEG_2451/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/CUSF,0,0,0,0,0,0,3,4,6,0
MEG_7250/Drugs/Mycobacterium_tuberculosis_specific_Drug/Para_aminosalicylic_acid_resistant_mutant/THYA/RequiresSNPConfirmation,69,30,53,85,105,102,80,93,54,77
MEG_3196/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,47,56,0,45,0
MEG_2698/Biocides/Multi_biocide_resistance/Multi_biocide_SMR_efflux_pump/EBRB,6,0,0,0,0,0,0,0,0,0
MEG_1209/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,0,5,0,24,0,3,6,13,10,3
MEG_2434/Drugs/betalactams/Class_A_betalactamases/CTX,418,396,616,574,551,610,595,551,476,572
MEG_2942/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,0,30,0,0
MEG_7320/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,40,21,25,33,30,22,34,15,43,28
MEG_8287/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,4,5,19,2,2,0,7,8,8
MEG_3449/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/KEXD,0,15,0,57,0,0,0,0,8,0
MEG_2807/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,2,1,0,2,14,0,5,0,1
MEG_2724/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRB,0,18,23,85,0,23,13,22,20,19
MEG_145/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,0,16,0,0
MEG_3986/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,593,0,0,551,527,520,0,0,528,0
MEG_2937/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,0,36,0,0
MEG_452/Drugs/betalactams/Class_C_betalactamases/ACT,0,3,0,2,0,0,0,0,0,0
MEG_6500/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILB,0,23,37,50,0,16,34,36,30,0
MEG_6822/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_4280/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,11,0,30,0,10,0,21,7,9
MEG_7112/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,0,3,4,8,6,16,9,4,10,5
MEG_2983/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,10,0,0,0,0,0,0
MEG_6400/Drugs/betalactams/Class_A_betalactamases/SHV,0,0,0,2,0,0,0,0,0,0
MEG_4126/Metals/Nickel_resistance/Nickel_MFS_efflux_pumps/NCRCN,0,0,0,8,0,0,0,0,0,0
MEG_6617/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,24,7,14,8,27,30,11,49,0,25
MEG_933/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,2,0,0,0,0,0,0,0
MEG_7537/Drugs/Glycopeptides/VanA_type_accessory_protein/VANWA,0,0,0,0,0,0,0,0,4,0
MEG_3979/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,447,206,360,452,535,471,391,490,354,346
MEG_8443/Drugs/Pleuromutilin/Pleuromutilin_resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,103,45,96,119,146,169,106,248,85,99
MEG_4350/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,4,0,13,0,8,0,8,0,0
MEG_2457/Metals/Copper_resistance/Copper_resistance_protein/CUTE,0,62,20,132,0,16,7,42,44,35
MEG_949/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,2,0,0,0,0,0,0,0,0
MEG_8212/Drugs/betalactams/Class_C_betalactamases/LAQ,0,0,0,0,0,0,0,0,0,4
MEG_4009/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODC,0,0,8,47,5,8,15,10,32,13
MEG_3214/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,193,121,155,216,220,266,220,191,193,131
MEG_2687/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,0,2,0,0,0,0,4,0
MEG_2450/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/CUSC,0,0,0,0,0,0,2,0,6,0
