gene_accession,COR03u_t2_M_ON,COR02e_t2_M_ON,COR01u_t2_M_ON,COR01e_t2_M_ON,COR05e_t2_M_ON,COR04e_t2_M_ON,COR03e_t2_M_ON,COR05u_t2_M_ON,COR04u_t2_M_ON,COR02u_t2_M_ON
MEG_5384/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,32,0,0,0,0,28,0,23,30
MEG_7855/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUA,0,0,0,0,0,16,16,14,0,0
MEG_681/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ADEE,0,0,0,0,0,0,0,0,112,0
MEG_3282/Drugs/betalactams/Class_A_betalactamases/HUGA,0,0,0,0,0,0,0,0,24,0
MEG_3743/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_MFS_efflux_pumps/MDRL,0,0,0,0,0,0,0,18,0,0
MEG_7036/Drugs/Tetracyclines/Tetracycline_resistance_ABC_efflux_pumps/TETA60,0,0,0,0,0,0,0,0,92,0
MEG_8092/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSM,0,0,0,0,0,8,0,0,14,0
MEG_2681/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,0,0,0,0,5,0,0,0
MEG_2721/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRA,0,0,0,0,0,0,35,0,0,0
MEG_5345/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,28,0,61
MEG_2578/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRF,0,0,0,0,8,0,0,0,10,0
MEG_8628/Drugs/betalactams/Class_B_betalactamases/PFM,0,0,0,0,0,0,0,0,12,0
MEG_1479/Drugs/betalactams/Class_D_betalactamases/BSU,0,0,0,0,0,0,0,0,22,0
MEG_6629/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,34,42,28,111,19,27,12,20,16,143
MEG_3796/Drugs/betalactams/Penicillin_binding_protein/MECB,0,0,0,0,0,40,0,0,60,0
MEG_3242/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,409,1160,270,184,409,475,513,456,316,1519
MEG_7398/Drugs/Glycopeptides/VanA_type_resistance_protein/VANHA,0,0,0,0,0,0,0,0,14,0
MEG_3994/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1874,2159,2201,530,1719,2279,2625,2172,1219,4643
MEG_7032/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,10,41,0,0,12,12,0,6,11
MEG_6957/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERC,0,0,0,0,0,0,0,40,24,0
MEG_722/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/ALMG,0,0,0,0,0,0,0,0,30,0
MEG_5354/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,84,40,0,0,0,38,62,0,150
MEG_8258/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRF,0,158,64,0,84,98,122,128,40,320
