gene_accession,CRA08u_t2_M_BC,CRA10e_t2_M_BC,CRA06u_t2_M_BC,CRA07u_t2_M_BC,CRA06e_t2_M_BC,CRA10u_t2_M_BC,CRA08e_t2_M_BC,CRA09u_t2_M_BC,CRA07e_t2_M_BC,CRA09e_t2_M_BC
MEG_2430/Drugs/betalactams/Class_A_betalactamases/CTX,4,28,0,0,0,2,40,717,2,0
MEG_7020/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,2,0,0,0,20,0,0,0,0
MEG_5379/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,28,0,0,69,19,44,15,26
MEG_6776/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_961/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,0,0,0,1
MEG_3193/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,47,0,0,0,0,130,0,0,0,0
MEG_6692/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_7488/Drugs/Glycopeptides/VanA_type_regulator/VANSA,0,0,26,41,0,0,0,0,1,4
MEG_3073/Drugs/Fusidic_acid/Fusidic_acid_esterases/FUSF,0,0,0,0,0,0,20,0,0,0
MEG_7113/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,0,0,8,0,9,9,0,6,16,3
MEG_4033/Drugs/MLS/Macrolide_phosphotransferases/MPHB,0,0,0,0,0,33,0,22,0,0
MEG_4012/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODC,0,0,0,0,0,16,0,10,28,0
MEG_2701/Biocides/Acid_resistance/Acid_resistance_protein/EEFA,55,0,74,0,0,28,0,5,0,7
MEG_7118/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,18,62,46,40,18,27,15,37,55,50
MEG_8234/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MACAB/RequiresSNPConfirmation,0,0,0,0,0,14,0,0,0,0
MEG_6750/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_2479/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/CZRA,0,0,34,0,0,0,0,0,0,0
MEG_2090/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORC,38,4,35,0,0,18,13,92,22,5
MEG_2783/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,8,0,0,0,0,0,0,0,0
MEG_3194/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,38,18,0,0,27,0,0,41,0
MEG_847/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,3,0,0,0,0
MEG_7832/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YGJH,18,0,0,0,0,11,0,0,0,0
MEG_2360/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,2,0,0,0,0
MEG_785/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,1,0,0,0,0
MEG_6908/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,10,0,0,0,2,0
MEG_888/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,10,0,0,0,0
MEG_6760/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_810/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,1,0,0,0,1
MEG_3068/Drugs/Fusidic_acid/Ribosomal_zinc_binding_protein/FUSC,16,8,0,0,0,0,0,12,0,0
MEG_6638/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,4,7,15,11,9,69,32,40,0,14
MEG_6748/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_7310/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,1672,2057,1967,1977,1952,3230,1769,1637,2019,2354
MEG_5372/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,27,56,28,97,24,48,0,0
MEG_6515/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITC,4,0,20,0,0,0,0,0,0,1
MEG_3515/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNF,3,0,0,0,0,0,0,12,0,0
MEG_5382/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,132,106,222,166,152,334,122,164,179,140
MEG_848/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,2,0,0,0,2,0,0,0,0
MEG_1190/Drugs/Bacitracin/Undecaprenyl_pyrophosphate_phosphatase/BACA,14,0,37,0,0,5,0,0,4,18
MEG_3228/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,18,0,0,0,11,0,0,0,0,0
MEG_446/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,2,0,0,0,0
MEG_5392/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,70,114,74,60,95,174,90,112,160,126
MEG_414/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,8,0,0,0,0,0,6,2
MEG_7215/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,4,39,46,10,26,24,6,8,29,11
MEG_2250/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,6,0,0,0,0
MEG_706/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ADET2,0,0,16,0,0,0,0,0,0,0
MEG_6838/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_7028/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,2,0,0,3,11,0,0,0,0
MEG_8679/Drugs/Oxazolidinone/Oxazolidinone_resistant_23S_rRNA_mutation/RRL/RequiresSNPConfirmation,210,427,514,350,359,516,250,214,360,360
MEG_2315/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,0,0,7,0,0
MEG_1598/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,2,0,0,0,0,0,0,0
MEG_6707/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,2,0,0,0
MEG_4741/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,18,0,0
MEG_6995/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET42,0,0,0,0,0,22,0,0,0,0
MEG_7854/Metals/Zinc_resistance/Zinc_resistance_regulator/ZNTR,0,0,8,0,0,26,0,6,0,0
MEG_5777/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/PGPA,0,0,66,0,392,0,0,0,0,0
MEG_4280/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,6,0,26,0,0,0,0,35,49,3
MEG_391/Drugs/betalactams/Class_C_betalactamases/ACC,0,0,2,0,0,2,0,0,0,22
MEG_5322/Drugs/Pactamycin/Pactamycin_resistant_16S_ribosomal_subunit_protein/P16S/RequiresSNPConfirmation,0,0,0,0,0,0,11,0,0,0
MEG_3901/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,0,0,16,0,0,0,0,0,0,0
MEG_7884/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,9,0,0,0,0,0,0,0
MEG_7264/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLC,12,0,13,0,0,22,10,24,15,3
MEG_7119/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,0,6,11,13,22,17,0,9,19,11
MEG_3225/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,31,58,0,60,0,0
MEG_7144/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,8,7,22,17,13,17,8,10,25,20
