gene_accession,LBB02e_t2_M_QC,LBB03u_t2_M_QC,LBB05u_t2_M_QC,LBB04u_t2_M_QC,LBB01e_t2_M_QC,LBB03e_t2_M_QC,LBB02u_t2_M_QC,LBB01u_t2_M_QC,LBB05e_t2_M_QC,LBB04e_t2_M_QC
MEG_6874/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_1191/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAER,0,0,12,0,0,24,0,0,18,0
MEG_3179/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,165,379,328,149,0,188,207,121
MEG_2020/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,0,0,0,36,0,0,40,0
MEG_6173/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEB,0,0,0,0,0,0,0,32,0,0
MEG_6701/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_2430/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,0,0,0,48,4
MEG_7219/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,4,5,0,4,7,0,5,0
MEG_3665/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MCO,0,0,0,166,118,0,0,0,0,0
MEG_2316/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,0,0,0,1,0
MEG_3800/Drugs/betalactams/Penicillin_binding_protein/MECC,0,0,0,0,0,0,0,44,0,0
MEG_7059/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,13,25,32,6,20,49,26,7,56,11
MEG_7145/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,45,21,38,41,122,99,56,73,160,152
MEG_2626/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,6,0,0,0,0,0,0
MEG_762/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,19,0,0,0
MEG_3641/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/LSA,0,0,102,110,0,0,0,0,0,38
MEG_5849/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACJ,0,0,0,4,6,0,0,0,0,0
MEG_6116/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,75,0,0,0,82,0
MEG_6710/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,2
MEG_396/Metals/Iron_resistance/Iron_resistance_protein/ACN,336,198,336,486,629,597,390,398,650,295
MEG_6121/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,61,65,147,112,139,233,160,181,308,215
MEG_3205/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,11,0,0,45,0,0,125,0
MEG_6931/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,2,0,0,0,3
