"name"	"taxRank"	"taxID"	"CTX02_d0_M_report.txt.cladeReads"	"CTX02_dC_M_report.txt.cladeReads"	"CTX02_dT_M_report.txt.cladeReads"	"CTX03_d0_M_report.txt.cladeReads"	"CTX03_dC_M_report.txt.cladeReads"	"CTX03_dT_M_report.txt.cladeReads"	"CTX04_d0_M_report.txt.cladeReads"	"CTX04_dC_M_report.txt.cladeReads"	"CTX04_dT_M_report.txt.cladeReads"	"CTX05_d0_M_report.txt.cladeReads"	"CTX05_dC_M_report.txt.cladeReads"	"CTX05_dT_M_report.txt.cladeReads"	"CTX06_d0_M_report.txt.cladeReads"	"CTX06_dC_M_report.txt.cladeReads"	"CTX06_dT_M_report.txt.cladeReads"	"lineage"
"Apis"	"G"	7459	24258482	26656717	39490654	30414128	35986763	28613164	30847369	34775481	38055535	41448926	33841805	38653869	41917628	37536215	39809414	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Hymenoptera>Apocrita>Aculeata>Apoidea>Apidae>Apinae>Apini"
"Aspergillus"	"G"	5052	124822	107777	99559	87650	84309	84293	86118	80927	79378	69060	83496	66380	53021	72032	98221	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>Eurotiomycetes>Eurotiomycetidae>Eurotiales>Aspergillaceae"
"Ascosphaera"	"G"	5104	1479	1339	1134	1138	951	1009	918	771	967	821	834	762	584	723	934	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>Eurotiomycetes>Eurotiomycetidae>Onygenales>Ascosphaeraceae"
"Nosema"	"G"	27977	10781	799214	8791	7593	7080	6868	7175	5692	6502	10436	6387	4346	9659	271770	6982	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Fungi&nbsp;incertae&nbsp;sedis>Microsporidia>Apansporoblastina>Nosematidae"
"Crithidia"	"G"	5655	2089	1977	1913	1693	1672	1486	1432	1341	1831	1521	1457	1378	1248	1169	1616	"cellular&nbsp;organisms>Eukaryota>Discoba>Euglenozoa>Kinetoplastea>Metakinetoplastina>Trypanosomatida>Trypanosomatidae>Leishmaniinae"
"Lotmaria"	"G"	1620386	1383	1169	906	952	868	882	860	707	1055	910	929	719	658	676	876	"cellular&nbsp;organisms>Eukaryota>Discoba>Euglenozoa>Kinetoplastea>Metakinetoplastina>Trypanosomatida>Trypanosomatidae>Leishmaniinae"
"Gilliamella"	"G"	1193503	1706356	2992510	2279827	2400401	2429729	1323225	1740000	2549309	3138108	1242599	3082241	2296891	2851119	2065352	3013505	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae"
"Frischella"	"G"	1335631	1274688	853062	346848	235727	698405	386423	401995	564324	828562	456253	728556	430452	688229	844859	1639065	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae"
"Pantoea"	"G"	53335	78231	41051	72724	28768	98354	24852	29007	119765	36384	16722	27519	32431	14676	2975	22153	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae"
"Serratia"	"G"	613	55534	39276	49192	15313	109374	16084	17328	44784	23416	26741	8244	76905	13215	3127	21178	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
