"name"	"taxRank"	"taxID"	"Max"	"CTX02_d0_M_report.txt.cladeReads.."	"CTX02_dC_M_report.txt.cladeReads.."	"CTX02_dT_M_report.txt.cladeReads.."	"CTX03_d0_M_report.txt.cladeReads.."	"CTX03_dC_M_report.txt.cladeReads.."	"CTX03_dT_M_report.txt.cladeReads.."	"CTX04_d0_M_report.txt.cladeReads.."	"CTX04_dC_M_report.txt.cladeReads.."	"CTX04_dT_M_report.txt.cladeReads.."	"CTX05_d0_M_report.txt.cladeReads.."	"CTX05_dC_M_report.txt.cladeReads.."	"CTX05_dT_M_report.txt.cladeReads.."	"CTX06_d0_M_report.txt.cladeReads.."	"CTX06_dC_M_report.txt.cladeReads.."	"CTX06_dT_M_report.txt.cladeReads.."	"lineage"
"Apis"	"G"	7459	89.56	80.89	76.71	85.02	84.69	78.88	87.54	83.75	81.14	80.51	89.56	78.49	75.02	81.06	82.88	78.97	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Hymenoptera>Apocrita>Aculeata>Apoidea>Apidae>Apinae>Apini"
"Aspergillus"	"G"	5052	0.4162	0.4162	0.3102	0.2143	0.2441	0.1848	0.2579	0.2338	0.1888	0.1679	0.1492	0.1937	0.1288	0.1025	0.159	0.1948	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>Eurotiomycetes>Eurotiomycetidae>Eurotiales>Aspergillaceae"
"Ascosphaera"	"G"	5104	0.004931	0.004931	0.003853	0.002441	0.003169	0.002085	0.003087	0.002492	0.001799	0.002046	0.001774	0.001934	0.001479	0.001129	0.001596	0.001853	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>Eurotiomycetes>Eurotiomycetidae>Onygenales>Ascosphaeraceae"
"Nosema"	"G"	27977	2.3	0.03595	2.3	0.01893	0.02114	0.01552	0.02101	0.01948	0.01328	0.01376	0.02255	0.01481	0.008435	0.01868	0.6001	0.01385	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Fungi&nbsp;incertae&nbsp;sedis>Microsporidia>Apansporoblastina>Nosematidae"
"Crithidia"	"G"	5655	0.006965	0.006965	0.005689	0.004118	0.004714	0.003665	0.004546	0.003888	0.003129	0.003874	0.003287	0.003379	0.002674	0.002413	0.002581	0.003206	"cellular&nbsp;organisms>Eukaryota>Discoba>Euglenozoa>Kinetoplastea>Metakinetoplastina>Trypanosomatida>Trypanosomatidae>Leishmaniinae"
"Lotmaria"	"G"	1620386	0.004611	0.004611	0.003364	0.00195	0.002651	0.001903	0.002699	0.002335	0.00165	0.002232	0.001966	0.002155	0.001395	0.001272	0.001493	0.001738	"cellular&nbsp;organisms>Eukaryota>Discoba>Euglenozoa>Kinetoplastea>Metakinetoplastina>Trypanosomatida>Trypanosomatidae>Leishmaniinae"
"Gilliamella"	"G"	1193503	8.612	5.69	8.612	4.908	6.684	5.326	4.048	4.724	5.948	6.639	2.685	7.149	4.458	5.514	4.56	5.978	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae"
"Frischella"	"G"	1335631	4.25	4.25	2.455	0.7467	0.6564	1.531	1.182	1.091	1.317	1.753	0.9859	1.69	0.8354	1.331	1.865	3.251	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae"
"Pantoea"	"G"	53335	0.2794	0.2608	0.1181	0.1566	0.08011	0.2156	0.07604	0.07876	0.2794	0.07697	0.03613	0.06383	0.06294	0.02838	0.006569	0.04394	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae"
"Serratia"	"G"	613	0.2397	0.1852	0.113	0.1059	0.04264	0.2397	0.04921	0.04705	0.1045	0.04954	0.05778	0.01912	0.1493	0.02556	0.006904	0.04201	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
"Snodgrassella"	"G"	1193515	1.363	0.6388	1.363	0.9197	0.6613	1.09	0.4069	0.2523	0.7445	0.7762	0.368	0.9049	0.2723	0.6933	0.6661	0.5119	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales>Neisseriaceae"
"Commensalibacter"	"G"	1079922	0.2232	0.07681	0.1003	0.09943	0.02853	0.04187	0.08941	0.2179	0.07295	0.2232	0.09771	0.05565	0.1111	0.05969	0.0971	0.1063	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae"
"Bombella"	"G"	1654741	0.05739	0.01095	0.01473	0.005776	0.01292	0.002442	0.0009791	0.01538	0.003938	0.05739	0.002919	0.01466	0.002539	0.01036	0.01128	0.004674	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae"
"Bartonella"	"G"	773	0.476	0.002324	0.001292	0.0008224	0.0005987	0.008776	0.0009515	0.003885	0.009309	0.1554	0.1177	0.001517	0.04393	0.04904	0.476	0.009175	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bartonellaceae"
"Lactobacillus"	"G"	1578	12.08	6.158	6.441	6.435	5.882	6.917	5.399	8.422	7.926	7.373	4.697	9.874	12.08	6.067	6.424	8.192	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"Melissococcus"	"G"	33969	4.549	0.002737	0.002463	0.001513	0.001687	3.63	0.001625	0.001472	0.001426	0.6037	0.5862	0.001382	4.549	4.06	0.001362	0.7685	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae"
"Paenibacillus"	"G"	44249	0.002245	0.00156	0.001393	0.0008418	0.0006878	0.0009842	0.0006731	0.0008308	0.00056	0.0008293	0.0004386	0.0005126	0.002187	0.002245	0.0006271	0.0006526	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Brevibacillus"	"G"	55080	0.001727	0.0003301	0.0002532	0.0001485	0.0001977	0.00032	0.0001652	0.0002552	0.000224	0.0002687	0.0001685	0.0001484	0.001716	0.001727	0.0001303	0.0001865	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Bifidobacterium"	"G"	1678	2.261	1.349	1.424	1.353	0.9758	1.902	0.9037	1.122	2.219	1.31	0.6055	1.511	2.261	0.9593	2.233	1.895	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Spiroplasma"	"G"	2132	0.2766	0.006702	0.003332	0.002482	0.002016	0.002023	0.002506	0.002218	0.001407	0.2766	0.01159	0.001392	0.002354	0.001574	0.001632	0.001402	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae"
"Apibacter"	"G"	1778601	0.02536	0.01257	0.0158	0.004301	0.004856	0.004965	0.005302	0.00401	0.02536	0.005139	0.007807	0.004469	0.0111	0.007061	0.00614	0.009488	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Weeksellaceae"
