"name"	"taxRank"	"taxID"	"Max"	"CTX02_d0_M_report.txt.cladeReads.."	"CTX02_dC_M_report.txt.cladeReads.."	"CTX02_dT_M_report.txt.cladeReads.."	"CTX03_d0_M_report.txt.cladeReads.."	"CTX03_dC_M_report.txt.cladeReads.."	"CTX03_dT_M_report.txt.cladeReads.."	"CTX04_d0_M_report.txt.cladeReads.."	"CTX04_dC_M_report.txt.cladeReads.."	"CTX04_dT_M_report.txt.cladeReads.."	"CTX05_d0_M_report.txt.cladeReads.."	"CTX05_dC_M_report.txt.cladeReads.."	"CTX05_dT_M_report.txt.cladeReads.."	"CTX06_d0_M_report.txt.cladeReads.."	"CTX06_dC_M_report.txt.cladeReads.."	"CTX06_dT_M_report.txt.cladeReads.."	"lineage"
"Gilliamella apicola"	"S"	1196095	41.86	22.36	38	28.95	41.86	22.57	30.15	27.06	27.15	32	24.33	31.8	16.6	23.62	23.39	27.44	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae>Gilliamella"
"Gilliamella apis"	"S"	1970738	7.284	7.284	3.696	1.76	2.883	2.447	2.947	3.421	4.426	2.237	1.927	2.804	1.499	4.349	4.115	1.725	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae>Gilliamella"
"Gilliamella sp. A7"	"S"	1970465	3.515	0.7528	0.5867	3.515	0.9818	0.5942	0.8134	0.5643	0.607	1.061	0.4769	0.2801	0.5035	1.131	0.4714	0.2736	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae>Gilliamella>unclassified&nbsp;Gilliamella"
"Gilliamella sp. N-G2"	"S"	1970471	0.8057	0.4793	0.3933	0.2039	0.3277	0.2759	0.3826	0.2509	0.8057	0.3587	0.3125	0.3829	0.196	0.6799	0.6975	0.2791	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae>Gilliamella>unclassified&nbsp;Gilliamella"
"Frischella perrara"	"S"	1267021	23.95	23.95	12.41	5.35	4.602	7.598	10.22	7.372	7.49	9.603	10.16	8.473	3.595	7.413	12.09	16.42	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae>Frischella"
"Pantoea agglomerans"	"S"	549	1.589	1.47	0.5973	1.122	0.5616	1.07	0.657	0.5319	1.589	0.4217	0.3725	0.3201	0.2709	0.1581	0.04256	0.2219	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea>Pantoea&nbsp;agglomerans&nbsp;group"
"Serratia marcescens"	"S"	615	1.19	1.043	0.5714	0.7587	0.2989	1.19	0.4252	0.3177	0.5944	0.2714	0.5957	0.09588	0.6423	0.1423	0.04473	0.2121	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Snodgrassella alvi"	"S"	1196083	6.893	3.599	6.893	6.589	4.637	5.411	3.516	1.704	4.235	4.252	3.794	4.537	1.172	3.861	4.316	2.585	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales>Neisseriaceae>Snodgrassella"
"Commensalibacter sp. ESL0366"	"S"	2676439	0.5822	0.2314	0.1982	0.3187	0.09322	0.101	0.3084	0.5822	0.1884	0.5516	0.4555	0.1123	0.2342	0.1325	0.2725	0.2627	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Commensalibacter>unclassified&nbsp;Commensalibacter"
"Commensalibacter sp. ESL0284"	"S"	2070537	0.6361	0.1201	0.2171	0.2686	0.06764	0.07093	0.3351	0.6361	0.1571	0.4638	0.3686	0.1154	0.1573	0.1416	0.2527	0.1857	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Commensalibacter>unclassified&nbsp;Commensalibacter"
