"name"	"taxRank"	"taxID"	"Max"	"CTX02_d0_M_report.txt.cladeReads.."	"CTX02_dC_M_report.txt.cladeReads.."	"CTX02_dT_M_report.txt.cladeReads.."	"CTX03_d0_M_report.txt.cladeReads.."	"CTX03_dC_M_report.txt.cladeReads.."	"CTX03_dT_M_report.txt.cladeReads.."	"CTX04_d0_M_report.txt.cladeReads.."	"CTX04_dC_M_report.txt.cladeReads.."	"CTX04_dT_M_report.txt.cladeReads.."	"CTX05_d0_M_report.txt.cladeReads.."	"CTX05_dC_M_report.txt.cladeReads.."	"CTX05_dT_M_report.txt.cladeReads.."	"CTX06_d0_M_report.txt.cladeReads.."	"CTX06_dC_M_report.txt.cladeReads.."	"CTX06_dT_M_report.txt.cladeReads.."	"lineage"
"Apis mellifera"	"S"	7460	90.07	81.64	77.41	85.7	85.36	79.49	88.08	84.76	82.02	81.37	90.07	79.57	76.24	81.76	83.65	79.78	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Hymenoptera>Apocrita>Aculeata>Apoidea>Apidae>Apinae>Apini>Apis"
"Aspergillus flavus"	"S"	5059	0.4201	0.4201	0.313	0.216	0.246	0.1862	0.2595	0.2366	0.1909	0.1697	0.1501	0.1963	0.1309	0.1034	0.1605	0.1968	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>Eurotiomycetes>Eurotiomycetidae>Eurotiales>Aspergillaceae>Aspergillus>Aspergillus&nbsp;subgen.&nbsp;Circumdati"
"Ascosphaera apis"	"S"	5105	0.004977	0.004977	0.003889	0.002461	0.003194	0.002101	0.003106	0.002522	0.001819	0.002068	0.001784	0.001961	0.001503	0.001139	0.001611	0.001872	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>Eurotiomycetes>Eurotiomycetidae>Onygenales>Ascosphaeraceae>Ascosphaera"
"Nosema apis"	"S"	35231	0.009865	0.007821	0.009865	0.006745	0.006115	0.005814	0.005882	0.005369	0.004297	0.005016	0.004259	0.00494	0.003744	0.003507	0.004199	0.004657	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Fungi&nbsp;incertae&nbsp;sedis>Microsporidia>Apansporoblastina>Nosematidae>Nosema"
"Nosema ceranae"	"S"	40302	2.292	0.003786	2.292	0.002454	0.002717	0.002132	0.002727	0.002415	0.002125	0.002619	0.01414	0.002448	0.002339	0.01412	0.5972	0.002166	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Fungi&nbsp;incertae&nbsp;sedis>Microsporidia>Apansporoblastina>Nosematidae>Nosema"
"Crithidia mellificae"	"S"	796356	0.00703	0.00703	0.005741	0.004151	0.004751	0.003693	0.004574	0.003935	0.003163	0.003915	0.003305	0.003426	0.002718	0.002434	0.002605	0.003239	"cellular&nbsp;organisms>Eukaryota>Discoba>Euglenozoa>Kinetoplastea>Metakinetoplastina>Trypanosomatida>Trypanosomatidae>Leishmaniinae>Crithidia"
"Lotmaria passim"	"S"	1620387	0.004654	0.004654	0.003395	0.001966	0.002672	0.001917	0.002715	0.002363	0.001668	0.002256	0.001977	0.002184	0.001418	0.001283	0.001507	0.001756	"cellular&nbsp;organisms>Eukaryota>Discoba>Euglenozoa>Kinetoplastea>Metakinetoplastina>Trypanosomatida>Trypanosomatidae>Leishmaniinae>Lotmaria"
"Gilliamella apicola"	"S"	1196095	7.585	4.005	7.585	4.073	6.018	4.583	3.511	4.055	4.824	5.904	2.374	6.428	3.921	4.278	3.643	5.49	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae>Gilliamella"
"Gilliamella apis"	"S"	1970738	1.305	1.305	0.7377	0.2477	0.4145	0.4969	0.3432	0.5127	0.7865	0.4127	0.188	0.5668	0.3539	0.7875	0.6411	0.3451	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae>Gilliamella"
"Gilliamella sp. A7"	"S"	1970465	0.4946	0.1349	0.1171	0.4946	0.1411	0.1206	0.09472	0.08455	0.1079	0.1958	0.04652	0.05662	0.1189	0.2048	0.07344	0.05475	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae>Gilliamella>unclassified&nbsp;Gilliamella"
"Gilliamella sp. N-G2"	"S"	1970471	0.1432	0.08586	0.07851	0.02868	0.04711	0.05602	0.04455	0.0376	0.1432	0.06616	0.03049	0.07742	0.04629	0.1231	0.1087	0.05584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae>Gilliamella>unclassified&nbsp;Gilliamella"
"Frischella perrara"	"S"	1267021	4.29	4.29	2.477	0.7527	0.6616	1.543	1.189	1.105	1.331	1.772	0.9914	1.713	0.849	1.342	1.883	3.285	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae>Frischella"
"Pantoea agglomerans"	"S"	549	0.2825	0.2633	0.1192	0.1578	0.08074	0.2173	0.0765	0.07971	0.2825	0.07779	0.03634	0.0647	0.06397	0.02863	0.00663	0.0444	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Pantoea>Pantoea&nbsp;agglomerans&nbsp;group"
"Serratia marcescens"	"S"	615	0.2416	0.1869	0.1141	0.1067	0.04298	0.2416	0.04951	0.04761	0.1056	0.05007	0.05811	0.01938	0.1517	0.02578	0.006969	0.04244	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Snodgrassella alvi"	"S"	1196083	1.376	0.6448	1.376	0.9271	0.6666	1.099	0.4094	0.2553	0.7527	0.7844	0.3701	0.9173	0.2768	0.6993	0.6724	0.5172	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales>Neisseriaceae>Snodgrassella"
"Commensalibacter sp. ESL0366"	"S"	2676439	0.1018	0.04146	0.03956	0.04484	0.0134	0.0205	0.03591	0.08724	0.03349	0.1018	0.04444	0.0227	0.05531	0.024	0.04246	0.05255	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Commensalibacter>unclassified&nbsp;Commensalibacter"
"Commensalibacter sp. ESL0284"	"S"	2070537	0.09532	0.02151	0.04334	0.03779	0.009725	0.0144	0.03903	0.09532	0.02793	0.08555	0.03596	0.02334	0.03716	0.02565	0.03936	0.03715	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Commensalibacter>unclassified&nbsp;Commensalibacter"
"Commensalibacter sp. MX01"	"S"	1208583	0.0007969	0.0006327	0.000514	0.0004709	0.0003733	0.0003115	0.0004956	0.0004781	0.0005048	0.0004939	0.0003499	0.0004303	0.0007969	0.0006788	0.0005505	0.0004108	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Commensalibacter>unclassified&nbsp;Commensalibacter"
"Commensalibacter intestini"	"S"	479936	0.001185	0.0006327	0.0006447	0.001122	0.0003873	0.0003093	0.0004556	0.0006815	0.0005732	0.001185	0.0004585	0.0005032	0.0008186	0.0005891	0.0004858	0.0005291	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Commensalibacter"
"Bombella sp. ESL0368"	"S"	2676441	0.04808	0.008531	0.0134	0.005115	0.01242	0.001783	0.0002586	0.007669	0.001995	0.04808	0.002238	0.008016	0.001483	0.009197	0.006539	0.0008738	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Bombella>unclassified&nbsp;Bombella"
"Bombella sp. ESL0385"	"S"	2676446	0.008854	0.001986	0.0009438	0.000191	0.000188	0.0003468	0.0005756	0.003638	0.001656	0.008854	0.0005476	0.002918	0.0004832	0.0005813	0.00181	0.002631	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Bombella>unclassified&nbsp;Bombella"
"Bombella intestini"	"S"	1539051	0.003704	0.000286	0.0003224	0.0003624	0.0002273	0.0002209	8.311e-05	0.003704	0.0002595	0.0006735	0.0001239	0.00336	0.0004813	0.0005306	0.002538	0.001094	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Bombella"
"Bartonella apis"	"S"	1686310	0.4805	0.002346	0.001304	0.000829	0.0006034	0.008845	0.0009573	0.003932	0.009411	0.1571	0.1183	0.001538	0.04465	0.04947	0.4805	0.009269	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bartonellaceae>Bartonella"
"Lactobacillus mellis"	"S"	1218508	3.793	2.288	2.186	2.068	2.086	2.864	2.279	1.833	2.557	1.801	1.623	3.793	2.319	1.602	2.427	3.003	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus sp. wkB8"	"S"	1545702	0.558	0.4223	0.2331	0.558	0.4239	0.178	0.1959	0.4754	0.448	0.3205	0.06441	0.2846	0.3105	0.08624	0.1172	0.1336	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. wkB10"	"S"	1545701	0.2745	0.209	0.1497	0.1588	0.1692	0.1413	0.08611	0.2089	0.1525	0.0974	0.1067	0.2059	0.1697	0.1561	0.1999	0.2745	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. ESL0263"	"S"	2069350	1.198	0.199	0.3642	0.2012	0.1972	0.3199	0.3301	0.4158	0.306	0.7011	0.2637	0.2348	1.198	0.3715	0.1336	0.4054	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. ESL0260"	"S"	2069347	0.4079	0.1187	0.1149	0.1173	0.1283	0.08353	0.1023	0.2378	0.2597	0.173	0.1037	0.4079	0.2556	0.1585	0.2294	0.2174	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. ESL0259"	"S"	2069346	0.3593	0.09693	0.1039	0.1041	0.1104	0.07221	0.08845	0.2087	0.2283	0.1497	0.09397	0.3593	0.2395	0.1415	0.2008	0.1979	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. ESL0261"	"S"	2069348	0.1345	0.08449	0.08673	0.08162	0.09614	0.07019	0.05352	0.1344	0.1014	0.06507	0.04518	0.1345	0.1122	0.07362	0.1062	0.1192	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. ESL0228"	"S"	2069352	0.04742	0.01078	0.01099	0.01312	0.0101	0.008827	0.009918	0.01574	0.01186	0.02017	0.0137	0.01383	0.03795	0.01431	0.01028	0.04742	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
