name,taxRank,taxID,Max,HBB01e_t1.cladeReads,HBB01e_t2.cladeReads,HBB01e_t3.cladeReads,HBB01e_t4.cladeReads,HBB01u_t1.cladeReads,HBB01u_t2.cladeReads,HBB01u_t3.cladeReads,HBB01u_t4.cladeReads,HBB02e_t1.cladeReads,HBB02e_t2.cladeReads,HBB02e_t3.cladeReads,HBB02e_t4.cladeReads,HBB02u_t1.cladeReads,HBB02u_t2.cladeReads,HBB02u_t3.cladeReads,HBB02u_t4.cladeReads,HBB03e_t1.cladeReads,HBB03e_t2.cladeReads,HBB03e_t3.cladeReads,HBB03e_t4.cladeReads,HBB03u_t1.cladeReads,HBB03u_t2.cladeReads,HBB03u_t3.cladeReads,HBB03u_t4.cladeReads,HBB04e_t1.cladeReads,HBB04e_t2.cladeReads,HBB04e_t3.cladeReads,HBB04e_t4.cladeReads,HBB04u_t1.cladeReads,HBB04u_t2.cladeReads,HBB04u_t3.cladeReads,HBB04u_t4.cladeReads,HBB05e_t1.cladeReads,HBB05e_t2.cladeReads,HBB05e_t3.cladeReads,HBB05e_t4.cladeReads,HBB05u_t1.cladeReads,HBB05u_t2.cladeReads,HBB05u_t3.cladeReads,HBB05u_t4.cladeReads,lineage
Apis,G,7459,87856000,41017785,55634924,36640611,54329998,42265910,31079089,83774967,53383144,36794685,43043625,38979298,42759178,45622085,47470623,53646852,61746053,29639634,35244399,38888554,35491015,33374971,40356913,83359481,47439990,44896913,43417427,46591327,47468840,43668604,41784822,35908911,81463972,45460139,42399509,46800049,48854913,42311333,87855608,34894429,35135399,cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Hymenoptera>Apocrita>Aculeata>Apoidea>Apidae>Apinae>Apini
Nosema,G,27977,11652000,7261638,11652375,3324122,327447,4857391,6395828,9461,1332955,3940679,1267817,3241,2707,3971855,3241259,1129445,121524,2716109,5187805,1272819,3487434,7168254,2113585,1461982,3927585,5225889,1175925,3385398,4318,505416,3241,634149,7456,3422,3062,5597,4727,1369960,2297268,2580,3710,cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Fungi&nbsp;incertae&nbsp;sedis>Microsporidia>Apansporoblastina>Nosematidae
Aspergillus,G,5052,218040,63406,69766,54335,90455,64319,51475,156420,98893,56122,56075,60088,59963,55492,72904,75731,106317,45573,56251,58813,55128,44224,65357,124459,66508,68298,69034,65954,84360,52106,58560,44765,218038,63137,60848,70377,111455,61626,111253,45517,84932,cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>Eurotiomycetes>Eurotiomycetidae>Eurotiales>Aspergillaceae
Ascosphaera,G,5104,545240,748,860,636,1928,685,1700,34093,10707,545237,65494,85749,1432,108343,5984,45630,38286,568,882,1025,1572,710,767,1545,1060,765,2793,769,3077,542,584,789,30256,790,763,1025,11505,645,1546,688,11061,cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>Eurotiomycetes>Eurotiomycetidae>Onygenales>Ascosphaeraceae
Lotmaria,G,1620386,3937700,670290,109417,491,1019,279099,1016230,984,898,739379,622,560,527,1156,633079,1320587,3937685,87718,942997,494,486,823,142860,1191,950479,778,774,635,1046,608,670,863,2786,608,516,1954375,1438,1721,1526,518,1423,cellular&nbsp;organisms>Eukaryota>Discoba>Euglenozoa>Kinetoplastea>Metakinetoplastina>Trypanosomatida>Trypanosomatidae>Leishmaniinae
Crithidia,G,5655,3828,1780,1702,1133,1609,1214,1560,2282,1503,1424,1190,1194,1172,1368,1836,2314,3528,1012,1491,1427,1039,1001,1307,2541,1757,1272,1319,1519,1730,1325,1307,1269,3828,1180,1230,2052,2149,1305,3046,1108,2019,cellular&nbsp;organisms>Eukaryota>Discoba>Euglenozoa>Kinetoplastea>Metakinetoplastina>Trypanosomatida>Trypanosomatidae>Leishmaniinae
Lactobacillus,G,1578,7146400,5205835,2129056,3705223,2942741,4479390,1516600,7146436,2198379,1218143,1877299,3653750,2463128,2660784,2578438,4089901,2402701,4799851,1410293,3303192,1678426,4466738,2022852,6854090,2107235,2891689,2705525,2751645,2411648,5772998,3424742,3088474,6140306,2402238,2213006,2446601,3533111,2573385,2875002,3297142,3458276,cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae
Melissococcus,G,33969,2326800,987,941,663,794,991,1050,1037,589,436,755,19831,960307,572,1048,10533,5738,94390,169141,303815,42090,144131,24587,2204,502,10864,974,434702,30913,1605684,2326849,766377,864077,322095,1369256,870414,539015,115843,1750001,1412581,235240,cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae
Paenibacillus,G,44249,462580,318,349,609,199,174,266,293,385,140,265,1668,372,161,341,407,1056,314,115339,406167,63777,456,421,404,184,301,357,240,135259,471,7186,39771,599,187075,462582,113407,10970,209,23209,339170,123852,cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae
Brevibacillus,G,55080,472,114,103,123,58,58,61,82,77,43,55,88,57,42,82,125,121,106,111,150,46,115,66,151,59,136,86,76,65,154,174,55,107,171,168,183,91,76,472,96,133,cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae
