dataset_key,highest grouping,year,activity,stressor,group,dataset,stressor name,Sample IDs,# Samples,Number of Treatments,d0_treatment,d1_treatment,d2_treatment,Description
CAC,Crops (2020),2020,2,crop,,CAC,canola oil,"CAC0{1-5}{e,u}_t2_M",10,2,exposed,unexposed,,"Crop exposure - exposed apiary <= 500m from crop, unexposed apiary >1.5km from crop"
CAS,Crops (2020),2020,2,crop,,CAS,canola seed,"CAS0{1-5}{e,u}_t2_M",10,2,exposed,unexposed,,"Crop exposure - exposed apiary <= 500m from crop, unexposed apiary >1.5km from crop"
CRA,Crops (2020),2020,2,crop,,CRA,cranberry,"CRA0{1-5}{e,u}_t2_M",10,2,exposed,unexposed,,"Crop exposure - exposed apiary <= 500m from crop, unexposed apiary >1.5km from crop"
HBB,Crops (2020),2020,2,crop,,HBB,highbush blueberry,"HBB0{1-5}{e,u}_t2_M",40,2,exposed,unexposed,,"Crop exposure - exposed apiary <= 500m from crop, unexposed apiary >1.5km from crop"
SOY,Crops (2020),2020,2,crop,,SOY,soybean,"SOY0{1-5}{e,u}_t2_M",10,2,exposed,unexposed,,"Crop exposure - exposed apiary <= 500m from crop, unexposed apiary >1.5km from crop"
COR,Crops (2020),2020,2,crop,,COR,corn,"COR0{1-5}{e,u}_t2_M",10,2,exposed,unexposed,,"Crop exposure - exposed apiary <= 500m from crop, unexposed apiary >1.5km from crop"
THI,Pesticides (2020),2020,1,pesticide,CTX,THI,thiamethoxam (cage),THI0{2-6}_d{0-2}_M,15,3,0 ng/uL,0.115 ng/uL,0.46 ng/uL,pesticide exposure - 8hr dose in feed
CLO,Pesticides (2020),2020,1,pesticide,CTX,CLO,clothianidin (cage),"CLO0{1-3,5,6}_d{0-2}_M",15,3,0 ng/uL (trace acetone),0.1425 ng/uL,0.57 ng/uL,pesticide exposure - 8hr dose in feed
CTX_dT,Pesticides (2020),2020,1,pesticide,CTX,CTX_dT,thiamethoxam (colony),"CTX0{2-6}_d{0,C}_M",10,2,0 ppb (trace acetone),4.0 ppb,N/A,pesticide exposure - 21days
CTX_dC,Pesticides (2020),2020,1,pesticide,CTX,CTX_dC,clothianidin (colony),"CTX0{2-6}_d{0,T}_M",10,2,0 ppb (trace acetone),5.35 ppb,N/A,pesticide exposure - 21 days
A_BOS,Pesticide group experiment,2021,1,pesticide,A,A_BOS,boscalid,"A_CTL0{1-4,6}_d0_M, A_BOS0{1-4,6}_d{1,2}_M",15,3,0 mg / mL,0.2 ng/uL,4.0 ng/uL,pesticide exposure - 8hr dose in feed
A_FLX,Pesticide group experiment,2021,1,pesticide,A,A_FLX,fludioxonil,"A_CTL0{1-4,6}_d0_M, A_FLX0{1-4,6}_d{1,2}_M",15,3,0 mg/mL,1.085 ng/uL,21.702 ng/uL,pesticide exposure - 8hr dose in feed
A_PYM,Pesticide group experiment,2021,1,pesticide,A,A_PYM,pyrimethanil,"A_CTL0{1-4,6}_d0_M, A_PYM0{1-4,6}_d{1,2}_M",15,3,0 mg / mL,0.041 mg / mL,0.814 mg / mL,pesticide exposure - 8hr dose in feed
B_FLY,Pesticide group experiment,2021,1,pesticide,B,B_FLY,fluopyram,"B_CTL0{1,2,4-6}_d0_M, B_FLY0{1,2,4-6}_d{1,2}_M",15,3,0 ng/uL,0.0087 ng / uL,0.1742 ng / uL,pesticide exposure - 8hr dose in feed
B_PYC,Pesticide group experiment,2021,1,pesticide,B,B_PYC,pyraclostrobin,"B_CTL0{1,2,4-6}_d0_M, B_PYC0{1,2,4-6}_d{1,2}_M",15,3,0 ng / uL,0.0484 ng/uL,0.9680 ng/uL,pesticide exposure - 8hr dose in feed
C_CHL,Pesticide group experiment,2021,1,pesticide,C,C_CHL,chlorantraniliprole,"C_CTL0{1-3,5,6}_d0_M, C_CHL0{1-3,5,6}_d{1,2}_M",15,3,0 ng / uL,25 ng / uL,100 ng / uL,pesticide exposure - 8hr dose in feed
C_SPN,Pesticide group experiment,2021,1,pesticide,C,C_SPN,spinetoram,"C_CTL0{1-3,5,6}_d0_M, C_SPN0{1-3,5,6}_d{1,2}_M",15,3,0 ng / uL,0.215 ng / uL,0.859 ng  / uL,pesticide exposure - 8hr dose in feed
C_SPR,Pesticide group experiment,2021,1,pesticide,C,C_SPR,spirotetramat,"C_CTL0{1-3,5,6}_d0_M, C_SPR0{1-3,5,6}_d{1,2}_M",15,3,0 ng / uL,25 ng / uL,100 ng / uL,pesticide exposure - 8hr dose in feed
D_FLP,Pesticide group experiment,2021,1,pesticide,D,D_FLP,flupyradifurone,"D_CTL0{1-5}_d0_M, D_FLP0{1-5}_d{1,2}_M",15,3,0 ng / uL,2.598 ng / uL,10.390 ng / uL,pesticide exposure - 8hr dose in feed
D_SUL,Pesticide group experiment,2021,1,pesticide,D,D_SUL,sulfoxaflor,"D_CTL0{1-5}_d0_M, D_SUL0{1-5}_d{1,2}_M",15,3,0 ng / uL,0.287 ng/ uL,1.146 ng/ uL,pesticide exposure - 8hr dose in feed
E_GLY,Pesticide group experiment,2021,1,pesticide,E,E_GLY,glyphosate,"E_CTL0{1-3,5,6}_d0_M, E_GLY0{1-3,5,6}_d{1,2}_M",15,3,0 ng / uL,175 ng/ uL,600 ng / uL,pesticide exposure - 8hr dose in feed
E_MET,Pesticide group experiment,2021,1,pesticide,E,E_MET,metconazole,"E_CTL0{1-3,5,6}_d0_M, E_MET0{1-3,5,6}_d{1,2}_M",15,3,0 ng / uL,0.41 ng/uL,8.20 ng/ uL,pesticide exposure - 8hr dose in feed
CFS_dC,Pesticide colony experiment,2021,1,pesticide,CFS,CFS_dC,chlorantraniliprole,"CFS0{1-3,5,6}_d{0,C}_M",10,2,untreated,dC = 0.02435 ppm,,pesticide exposure - 21 days
CFS_dF,Pesticide colony experiment,2021,1,pesticide,CFS,CFS_dF,flupyradifurone,"CFS0{1-3,5,6}_d{0,F}_M",10,2,untreated,dF = 0.13605 ppm,,pesticide exposure - 21 days
CFS_dS,Pesticide colony experiment,2021,1,pesticide,CFS,CFS_dS,sulfoxaflor,"CFS0{1-3,5,6}_d{0,S}_M",10,2,untreated,dS = 0.04 ppm,,pesticide exposure - 21 days
AMZ,Other pesticides,2021,1,pesticide,CFS,AMZ,amitraz,"AMZ0{1,2,4-6}_d{0,1}_M",10,2,untreated,0.0022 mg per bee per day,N/A,pesticide exposure - 8 hr dose topical
FMA,Other pesticides,2021,1,pesticide,CFS,FMA,formic acid,"FMA0{1-5}_d{0,1,2}_M",15,3,0%,38.113 ug/bee,152.452 ug/bee,pesticide exposure - 48 hr dose topical
