"sample","NMDS1","NMDS2","crop","replicate","treatment","province"
"APP01e_t2_M_QC_21",-0.444230072945118,-0.120963412307693,"APP21e","Rep 1","exposed","QC"
"APP01u_t2_M_QC_21",-0.302429758373711,-0.0233649860878273,"APP21u","Rep 1","unexposed","QC"
"APP02e_t2_M_QC_21",-0.124179369812144,-0.178772369467811,"APP21e","Rep 2","exposed","QC"
"APP02u_t2_M_QC_21",0.176574348781796,-0.155995828121548,"APP21u","Rep 2","unexposed","QC"
"APP03e_t2_M_QC_21",-0.381557921520261,-0.104932820596906,"APP21e","Rep 3","exposed","QC"
"APP03u_t2_M_QC_21",-0.0357355364047536,-0.014344096753841,"APP21u","Rep 3","unexposed","QC"
"APP04e_t2_M_BC_21",-0.221233679131541,-0.00802838382213814,"APP21e","Rep 4","exposed","BC"
"APP04u_t2_M_BC_21",0.0467367636947053,-0.310947411977423,"APP21u","Rep 4","unexposed","BC"
"APP05e_t2_M_BC_21",-0.263004853231712,-0.134375556632018,"APP21e","Rep 5","exposed","BC"
"APP05u_t2_M_BC_21",0.151595797539066,-0.308691463636649,"APP21u","Rep 5","unexposed","BC"
"CAC01e_t2_M_AB_20",0.108046564842357,-0.0122210325055414,"CAC20e","Rep 1","exposed","AB"
"CAC01u_t2_M_AB_20",0.122533058145449,-0.0958877103856631,"CAC20u","Rep 1","unexposed","AB"
"CAC02e_t2_M_MB_20",0.197114138656101,0.017115813951199,"CAC20e","Rep 2","exposed","MB"
"CAC02u_t2_M_MB_20",0.130507813412577,-0.0450331175465944,"CAC20u","Rep 2","unexposed","MB"
"CAC03e_t2_M_MB_20",0.240361494693552,-0.0370582330112212,"CAC20e","Rep 3","exposed","MB"
"CAC03u_t2_M_MB_20",0.113714966199884,-0.0328055690560522,"CAC20u","Rep 3","unexposed","MB"
"CAC04e_t2_M_AB_20",-0.0731631266755879,-0.0414547565278523,"CAC20e","Rep 4","exposed","AB"
"CAC04u_t2_M_AB_20",0.2632594528032,0.0589707859004015,"CAC20u","Rep 4","unexposed","AB"
"CAC05e_t2_M_AB_20",-0.0267999589131398,-0.113792808994756,"CAC20e","Rep 5","exposed","AB"
"CAC05u_t2_M_AB_20",-0.213271173346883,-0.180381287674037,"CAC20u","Rep 5","unexposed","AB"
"CAC06e_t2_M_AB_21",0.0523666398112856,0.0311704628113902,"CAC21e","Rep 6","exposed","AB"
"CAC06u_t2_M_AB_21",-0.146667048418778,-0.0471550289907007,"CAC21u","Rep 6","unexposed","AB"
"CAC07e_t2_M_MB_21",0.191443148729302,0.0937973078941944,"CAC21e","Rep 7","exposed","MB"
"CAC07u_t2_M_MB_21",0.345838173671144,0.123074269231012,"CAC21u","Rep 7","unexposed","MB"
"CAC08e_t2_M_MB_21",0.263641295880492,0.167330032296202,"CAC21e","Rep 8","exposed","MB"
"CAC08u_t2_M_MB_21",-0.174926752893198,0.267851822535227,"CAC21u","Rep 8","unexposed","MB"
"CAC09e_t2_M_AB_21",0.198906137437468,0.143053768308054,"CAC21e","Rep 9","exposed","AB"
"CAC09u_t2_M_AB_21",-0.416756751980974,0.0595660669544956,"CAC21u","Rep 9","unexposed","AB"
"CAC10e_t2_M_AB_21",-0.0204900885688029,0.10281947124007,"CAC21e","Rep 10","exposed","AB"
"CAC10u_t2_M_AB_21",-0.543488195847673,-0.0171960827522748,"CAC21u","Rep 10","unexposed","AB"
"CAS01e_t2_M_AB_20",0.102274953539931,-0.172846469215981,"CAS20e","Rep 1","exposed","AB"
"CAS01u_t2_M_AB_20",0.149635677258312,-0.211301415593359,"CAS20u","Rep 1","unexposed","AB"
"CAS02e_t2_M_AB_20",0.168753162149909,-0.0311801821921181,"CAS20e","Rep 2","exposed","AB"
