"sample","NMDS1","NMDS2","crop","replicate","treatment","province"
"APP04e_t2_M_BC_21",-0.221429857497499,-0.106039939724253,"APP21e","Rep 4","exposed","BC"
"APP04u_t2_M_BC_21",0.0528284198911405,-0.351082324151832,"APP21u","Rep 4","unexposed","BC"
"APP05e_t2_M_BC_21",-0.248364812635604,-0.195214268089121,"APP21e","Rep 5","exposed","BC"
"APP05u_t2_M_BC_21",0.173287579828346,-0.337378385930018,"APP21u","Rep 5","unexposed","BC"
"CAC01e_t2_M_AB_20",0.101806006770334,-0.0218592063662097,"CAC20e","Rep 1","exposed","AB"
"CAC01u_t2_M_AB_20",0.135092546061704,-0.114541929411534,"CAC20u","Rep 1","unexposed","AB"
"CAC04e_t2_M_AB_20",-0.0924816321097832,-0.0724212041114459,"CAC20e","Rep 4","exposed","AB"
"CAC04u_t2_M_AB_20",0.246201902952305,0.0709478469124556,"CAC20u","Rep 4","unexposed","AB"
"CAC05e_t2_M_AB_20",-0.0330257550925924,-0.14019695677618,"CAC20e","Rep 5","exposed","AB"
"CAC05u_t2_M_AB_20",-0.212627937789762,-0.234872662790341,"CAC20u","Rep 5","unexposed","AB"
"CAC06e_t2_M_AB_21",0.0470063874100586,-0.0145355941518632,"CAC21e","Rep 6","exposed","AB"
"CAC06u_t2_M_AB_21",-0.15028959668,-0.0855562498870236,"CAC21u","Rep 6","unexposed","AB"
"CAC09e_t2_M_AB_21",0.178361652028025,0.1578086760417,"CAC21e","Rep 9","exposed","AB"
"CAC09u_t2_M_AB_21",-0.427221189492776,-0.0549947286757718,"CAC21u","Rep 9","unexposed","AB"
"CAC10e_t2_M_AB_21",-0.0398133344603607,0.0685516028723529,"CAC21e","Rep 10","exposed","AB"
"CAC10u_t2_M_AB_21",-0.523727650285261,-0.173100769650196,"CAC21u","Rep 10","unexposed","AB"
"CAS01e_t2_M_AB_20",0.115704312506781,-0.17603921458802,"CAS20e","Rep 1","exposed","AB"
"CAS01u_t2_M_AB_20",0.147809094244336,-0.224512642701837,"CAS20u","Rep 1","unexposed","AB"
"CAS02e_t2_M_AB_20",0.153431641297506,-0.029916790312198,"CAS20e","Rep 2","exposed","AB"
"CAS02u_t2_M_AB_20",0.00423610391301711,-0.116887703187128,"CAS20u","Rep 2","unexposed","AB"
"CAS03e_t2_M_AB_20",0.321023512356537,0.0550088774562695,"CAS20e","Rep 3","exposed","AB"
"CAS03u_t2_M_AB_20",-0.0671020281975299,0.0430053555125171,"CAS20u","Rep 3","unexposed","AB"
"CAS04e_t2_M_AB_20",0.0592773179283899,-0.0611267806703206,"CAS20e","Rep 4","exposed","AB"
"CAS04u_t2_M_AB_20",-0.122024672619397,0.00788220085024938,"CAS20u","Rep 4","unexposed","AB"
"CAS05e_t2_M_AB_20",0.316742237765654,0.0649547837794669,"CAS20e","Rep 5","exposed","AB"
"CAS05u_t2_M_AB_20",0.107855633624763,0.0753823163064484,"CAS20u","Rep 5","unexposed","AB"
"CAS06e_t2_M_AB_21",0.267490478713071,0.079786882036462,"CAS21e","Rep 6","exposed","AB"
"CAS06u_t2_M_AB_21",0.227005136063964,0.0353287125605984,"CAS21u","Rep 6","unexposed","AB"
"CAS07e_t2_M_AB_21",0.156039331657299,0.113704800393414,"CAS21e","Rep 7","exposed","AB"
"CAS07u_t2_M_AB_21",0.128561371718982,0.0573134602505144,"CAS21u","Rep 7","unexposed","AB"
"CAS08e_t2_M_AB_21",0.412782649736918,0.100919368052429,"CAS21e","Rep 8","exposed","AB"
"CAS08u_t2_M_AB_21",-0.334311234682256,-0.154948877750823,"CAS21u","Rep 8","unexposed","AB"
"CAS09e_t2_M_AB_21",-0.413736508970327,-0.196743500470409,"CAS21e","Rep 9","exposed","AB"
"CAS09u_t2_M_AB_21",0.408673796315821,0.114288418926741,"CAS21u","Rep 9","unexposed","AB"
"CAS10e_t2_M_AB_21",0.361914388720236,0.134461879351232,"CAS21e","Rep 10","exposed","AB"
"CAS10u_t2_M_AB_21",0.138167496517894,0.0908524764915299,"CAS21u","Rep 10","unexposed","AB"
"CRA01e_t2_M_BC_20",0.0800398012566241,0.0483967718857365,"CRA20e","Rep 1","exposed","BC"
"CRA01u_t2_M_BC_20",-0.0239156079032587,-0.169089180746338,"CRA20u","Rep 1","unexposed","BC"
"CRA02e_t2_M_BC_20",0.048590731202272,-0.0985969322734111,"CRA20e","Rep 2","exposed","BC"
"CRA02u_t2_M_BC_20",-0.143017285739826,-0.142825046493891,"CRA20u","Rep 2","unexposed","BC"
"CRA03e_t2_M_BC_20",0.318799555293843,0.0938783195753956,"CRA20e","Rep 3","exposed","BC"
"CRA03u_t2_M_BC_20",0.141014326533402,-0.0568178347704681,"CRA20u","Rep 3","unexposed","BC"
"CRA06e_t2_M_BC_21",-0.478241145881667,-0.0331498742730499,"CRA21e","Rep 6","exposed","BC"
"CRA06u_t2_M_BC_21",0.323232495317012,0.108688060204241,"CRA21u","Rep 6","unexposed","BC"
"CRA07e_t2_M_BC_21",0.246481012432989,0.11999588715649,"CRA21e","Rep 7","exposed","BC"
"CRA07u_t2_M_BC_21",-0.3490710346101,-0.114285465666194,"CRA21u","Rep 7","unexposed","BC"
"CRA08e_t2_M_BC_21",-0.172210200374221,-0.0180117545298501,"CRA21e","Rep 8","exposed","BC"
"CRA08u_t2_M_BC_21",0.367968533867913,0.0211046697167835,"CRA21u","Rep 8","unexposed","BC"
"CRA09e_t2_M_BC_21",0.0798045660449541,0.117929510980869,"CRA21e","Rep 9","exposed","BC"
"CRA09u_t2_M_BC_21",0.23056322964211,-0.0328011565232595,"CRA21u","Rep 9","unexposed","BC"
"CRA10e_t2_M_BC_21",-0.264258139291191,0.0131351090337024,"CRA21e","Rep 10","exposed","BC"
"CRA10u_t2_M_BC_21",0.28291605144457,0.0143482869147939,"CRA21u","Rep 10","unexposed","BC"
"HBB01e_t2_M_BC_20",0.196470689207351,-0.171544050066116,"HBB20e","Rep 1","exposed","BC"
"HBB01u_t2_M_BC_20",0.0185293729398587,-0.254536769127143,"HBB20u","Rep 1","unexposed","BC"
"HBB02e_t2_M_BC_20",-0.084246707763147,-0.142117489633185,"HBB20e","Rep 2","exposed","BC"
"HBB02u_t2_M_BC_20",0.113791159319838,-0.148086270533958,"HBB20u","Rep 2","unexposed","BC"
"HBB03e_t2_M_BC_20",0.0419752221039666,-0.176326106486368,"HBB20e","Rep 3","exposed","BC"
"HBB03u_t2_M_BC_20",0.0014095485857669,-0.103998797510233,"HBB20u","Rep 3","unexposed","BC"
"HBB04e_t2_M_BC_20",0.122901002308803,0.00294631241427377,"HBB20e","Rep 4","exposed","BC"
"HBB04u_t2_M_BC_20",0.0280011554357146,-0.00317048927464529,"HBB20u","Rep 4","unexposed","BC"
"HBB05e_t2_M_BC_20",0.0620951184747152,-0.0137929766115235,"HBB20e","Rep 5","exposed","BC"
"HBB05u_t2_M_BC_20",-0.0138553846022307,-0.267312929468903,"HBB20u","Rep 5","unexposed","BC"
"HBB06e_t2_M_BC_21",-0.495814401307319,0.226316439106032,"HBB21e","Rep 6","exposed","BC"
"HBB06u_t2_M_BC_21",-0.455499094061287,0.178188299588528,"HBB21u","Rep 6","unexposed","BC"
"HBB07e_t2_M_BC_21",-0.466765473374963,0.29593089570388,"HBB21e","Rep 7","exposed","BC"
"HBB07u_t2_M_BC_21",-0.124756310736557,0.297303209078602,"HBB21u","Rep 7","unexposed","BC"
"HBB08e_t2_M_BC_21",-0.361786467414132,0.235148633479043,"HBB21e","Rep 8","exposed","BC"
"HBB08u_t2_M_BC_21",-0.400132297379318,0.321842071991533,"HBB21u","Rep 8","unexposed","BC"
"HBB09e_t2_M_BC_21",-0.273315391716402,0.374180821466523,"HBB21e","Rep 9","exposed","BC"
"HBB09u_t2_M_BC_21",-0.156791601035992,0.279749935885536,"HBB21u","Rep 9","unexposed","BC"
"HBB10e_t2_M_BC_21",0.101906371812071,0.356815492976173,"HBB21e","Rep 10","exposed","BC"
"HBB10u_t2_M_BC_21",0.0820438124579043,0.432336468432546,"HBB21u","Rep 10","unexposed","BC"
