"sample","NMDS1","NMDS2","crop","replicate","treatment","province"
"CAC01e_t2_M_AB_20",-0.022530598832541,-0.0844806556189302,"CAC20e","Rep 1","exposed","AB"
"CAC01u_t2_M_AB_20",-0.0450555121475299,-0.168801551421549,"CAC20u","Rep 1","unexposed","AB"
"CAC02e_t2_M_MB_20",-0.0944049184549429,0.00567622509521415,"CAC20e","Rep 2","exposed","MB"
"CAC02u_t2_M_MB_20",-0.0218616115716881,-0.0646132069597643,"CAC20u","Rep 2","unexposed","MB"
"CAC03e_t2_M_MB_20",-0.147286612449817,-0.0667428335459866,"CAC20e","Rep 3","exposed","MB"
"CAC03u_t2_M_MB_20",0.00951807103693155,-0.0401711864519275,"CAC20u","Rep 3","unexposed","MB"
"CAC04e_t2_M_AB_20",0.209399830825328,-0.118607579437082,"CAC20e","Rep 4","exposed","AB"
"CAC04u_t2_M_AB_20",-0.162584927701996,0.0509860644689457,"CAC20u","Rep 4","unexposed","AB"
"CAC05e_t2_M_AB_20",0.144113795139402,-0.186869563271034,"CAC20e","Rep 5","exposed","AB"
"CAC05u_t2_M_AB_20",0.355634385733179,-0.201196764457579,"CAC20u","Rep 5","unexposed","AB"
"CAC06e_t2_M_AB_21",0.0766682457466076,-0.026158014791745,"CAC21e","Rep 6","exposed","AB"
"CAC06u_t2_M_AB_21",0.284439303094246,-0.0656316169425756,"CAC21u","Rep 6","unexposed","AB"
"CAC07e_t2_M_MB_21",-0.0874164045081922,0.0963674023968526,"CAC21e","Rep 7","exposed","MB"
"CAC07u_t2_M_MB_21",-0.225911919399603,0.137723964620526,"CAC21u","Rep 7","unexposed","MB"
"CAC08e_t2_M_MB_21",-0.164371895070197,0.177906666861848,"CAC21e","Rep 8","exposed","MB"
"CAC08u_t2_M_MB_21",0.256801318169148,0.369939898279079,"CAC21u","Rep 8","unexposed","MB"
"CAC09e_t2_M_AB_21",-0.0944320190398669,0.180033715411169,"CAC21e","Rep 9","exposed","AB"
"CAC09u_t2_M_AB_21",0.508686182524679,0.199604134936903,"CAC21u","Rep 9","unexposed","AB"
"CAC10e_t2_M_AB_21",0.132027526104154,0.119602717234251,"CAC21e","Rep 10","exposed","AB"
"CAC10u_t2_M_AB_21",0.641278930893618,0.189049033200478,"CAC21u","Rep 10","unexposed","AB"
"CAS01e_t2_M_AB_20",0.0240276039937648,-0.268094736900062,"CAS20e","Rep 1","exposed","AB"
"CAS01u_t2_M_AB_20",-0.0261372962051417,-0.310994334571243,"CAS20u","Rep 1","unexposed","AB"
"CAS02e_t2_M_AB_20",-0.0746752892895516,-0.0777234199272164,"CAS20e","Rep 2","exposed","AB"
"CAS02u_t2_M_AB_20",0.114528179141771,-0.177566485591308,"CAS20u","Rep 2","unexposed","AB"
"CAS03e_t2_M_AB_20",-0.243948264150541,0.016316488638507,"CAS20e","Rep 3","exposed","AB"
"CAS03u_t2_M_AB_20",0.189069610674515,0.136764263942631,"CAS20u","Rep 3","unexposed","AB"
"CAS04e_t2_M_AB_20",0.0465327481373075,-0.100986555251807,"CAS20e","Rep 4","exposed","AB"
"CAS04u_t2_M_AB_20",0.258556128306057,0.0646313369716258,"CAS20u","Rep 4","unexposed","AB"
"CAS05e_t2_M_AB_20",-0.240492386029255,0.0401472903728766,"CAS20e","Rep 5","exposed","AB"
"CAS05u_t2_M_AB_20",-0.00345048037279837,0.116001554922976,"CAS20u","Rep 5","unexposed","AB"
"CAS06e_t2_M_AB_21",-0.204533494610924,0.0669107171023052,"CAS21e","Rep 6","exposed","AB"
"CAS06u_t2_M_AB_21",-0.169251285339972,0.00618824133339216,"CAS21u","Rep 6","unexposed","AB"
"CAS07e_t2_M_AB_21",-0.110324564999103,0.136081553500178,"CAS21e","Rep 7","exposed","AB"
"CAS07u_t2_M_AB_21",-0.0220613373771694,0.0605027518110842,"CAS21u","Rep 7","unexposed","AB"
"CAS08e_t2_M_AB_21",-0.347203581608952,0.0442075092496801,"CAS21e","Rep 8","exposed","AB"
"CAS08u_t2_M_AB_21",0.465859092454931,-0.138157050654541,"CAS21u","Rep 8","unexposed","AB"
"CAS09e_t2_M_AB_21",0.565544556603538,-0.00541217209622708,"CAS21e","Rep 9","exposed","AB"
"CAS09u_t2_M_AB_21",-0.345936013389696,0.0703030652233704,"CAS21u","Rep 9","unexposed","AB"
"CAS10e_t2_M_AB_21",-0.287812143724674,0.102045856592535,"CAS21e","Rep 10","exposed","AB"
"CAS10u_t2_M_AB_21",-0.0586211603232262,0.116867564810421,"CAS21u","Rep 10","unexposed","AB"
"SOY01e_t2_M_MB_20",-0.199293748491697,-0.199321959444459,"SOY20e","Rep 1","exposed","MB"
"SOY01u_t2_M_MB_20",0.276827166426133,-0.0174960591174377,"SOY20u","Rep 1","unexposed","MB"
"SOY02e_t2_M_MB_20",-0.122977224389925,-0.0750336309464975,"SOY20e","Rep 2","exposed","MB"
"SOY02u_t2_M_MB_20",-0.279437270603718,-0.0153046426328076,"SOY20u","Rep 2","unexposed","MB"
"SOY03e_t2_M_MB_20",0.0425539572168936,0.0312748419869013,"SOY20e","Rep 3","exposed","MB"
"SOY03u_t2_M_MB_20",-0.108233541416942,-0.111124482123051,"SOY20u","Rep 3","unexposed","MB"
"SOY04e_t2_M_MB_20",-0.110990029072274,0.00594169925522283,"SOY20e","Rep 4","exposed","MB"
"SOY04u_t2_M_MB_20",-0.186176334458612,-0.111867376814291,"SOY20u","Rep 4","unexposed","MB"
"SOY05e_t2_M_MB_20",-0.335420116231451,0.102932133988923,"SOY20e","Rep 5","exposed","MB"
"SOY05u_t2_M_MB_20",-0.0592346509602053,-0.0116508132387757,"SOY20u","Rep 5","unexposed","MB"
