"sample","NMDS1","NMDS2","crop","replicate","treatment","province"
"CAC01e_t2_M_AB_20",-0.104595908231161,-0.00982911095752551,"CAC20e","Rep 1","exposed","AB"
"CAC01u_t2_M_AB_20",-0.137041229521713,-0.121241351844271,"CAC20u","Rep 1","unexposed","AB"
"CAC04e_t2_M_AB_20",0.0964938589406838,-0.0557617017010991,"CAC20e","Rep 4","exposed","AB"
"CAC04u_t2_M_AB_20",-0.265930316082941,0.101304559947583,"CAC20u","Rep 4","unexposed","AB"
"CAC05e_t2_M_AB_20",0.0539827218422242,-0.147418666102569,"CAC20e","Rep 5","exposed","AB"
"CAC05u_t2_M_AB_20",0.264102948201364,-0.158241970502603,"CAC20u","Rep 5","unexposed","AB"
"CAC06e_t2_M_AB_21",-0.055372436475375,0.0402903537778799,"CAC21e","Rep 6","exposed","AB"
"CAC06u_t2_M_AB_21",0.180341950141181,-0.0279175603814122,"CAC21u","Rep 6","unexposed","AB"
"CAC09e_t2_M_AB_21",-0.199650557841128,0.207822542794205,"CAC21e","Rep 9","exposed","AB"
"CAC09u_t2_M_AB_21",0.423347839250683,0.11644536765871,"CAC21u","Rep 9","unexposed","AB"
"CAC10e_t2_M_AB_21",0.0270698492305845,0.140353375484009,"CAC21e","Rep 10","exposed","AB"
"CAC10u_t2_M_AB_21",0.584492847986866,0.000711910320528111,"CAC21u","Rep 10","unexposed","AB"
"CAS01e_t2_M_AB_20",-0.145190675606919,-0.189945360584843,"CAS20e","Rep 1","exposed","AB"
"CAS01u_t2_M_AB_20",-0.146577392126622,-0.26031811631674,"CAS20u","Rep 1","unexposed","AB"
"CAS02e_t2_M_AB_20",-0.17879788391819,-0.0296584593867927,"CAS20e","Rep 2","exposed","AB"
"CAS02u_t2_M_AB_20",0.0182165248535097,-0.101285331450688,"CAS20u","Rep 2","unexposed","AB"
"CAS03e_t2_M_AB_20",-0.344807563115216,0.115789393933758,"CAS20e","Rep 3","exposed","AB"
"CAS03u_t2_M_AB_20",0.0684047433678123,0.187350992689069,"CAS20u","Rep 3","unexposed","AB"
"CAS04e_t2_M_AB_20",-0.0773498556883701,-0.0619852916383318,"CAS20e","Rep 4","exposed","AB"
"CAS04u_t2_M_AB_20",0.146460915726543,0.120385221120678,"CAS20u","Rep 4","unexposed","AB"
"CAS05e_t2_M_AB_20",-0.345078671057249,0.0858642821401287,"CAS20e","Rep 5","exposed","AB"
"CAS05u_t2_M_AB_20",-0.0998707604742719,0.130714434661872,"CAS20u","Rep 5","unexposed","AB"
"CAS06e_t2_M_AB_21",-0.303998241677585,0.0840001424669833,"CAS21e","Rep 6","exposed","AB"
"CAS06u_t2_M_AB_21",-0.273749010003176,0.0330749041440321,"CAS21u","Rep 6","unexposed","AB"
"CAS07e_t2_M_AB_21",-0.196107347950272,0.149148999023334,"CAS21e","Rep 7","exposed","AB"
"CAS07u_t2_M_AB_21",-0.14168336387918,0.0835072912966003,"CAS21u","Rep 7","unexposed","AB"
"CAS08e_t2_M_AB_21",-0.440465011717691,0.135005425272841,"CAS21e","Rep 8","exposed","AB"
"CAS08u_t2_M_AB_21",0.357094544186827,0.0251709052080782,"CAS21u","Rep 8","unexposed","AB"
"CAS09e_t2_M_AB_21",0.382174655785243,0.257594125877985,"CAS21e","Rep 9","exposed","AB"
"CAS09u_t2_M_AB_21",-0.445710751956188,0.116322420231548,"CAS21u","Rep 9","unexposed","AB"
"CAS10e_t2_M_AB_21",-0.388485465993335,0.168891930401966,"CAS21e","Rep 10","exposed","AB"
"CAS10u_t2_M_AB_21",-0.144190333531615,0.148328291181115,"CAS21u","Rep 10","unexposed","AB"
"COR01e_t2_M_ON_20",1.02553363287881,0.168383900662591,"COR20e","Rep 1","exposed","ON"
"COR01u_t2_M_ON_20",0.328718339916392,-0.154491102804459,"COR20u","Rep 1","unexposed","ON"
"COR02e_t2_M_ON_20",0.161972080831334,-0.15745961356454,"COR20e","Rep 2","exposed","ON"
"COR02u_t2_M_ON_20",0.192434438082304,-0.109803663571437,"COR20u","Rep 2","unexposed","ON"
"COR03e_t2_M_ON_20",-0.250413448043549,0.0497955979967715,"COR20e","Rep 3","exposed","ON"
"COR03u_t2_M_ON_20",0.536481352754464,0.153967262460525,"COR20u","Rep 3","unexposed","ON"
"COR04e_t2_M_ON_20",0.00352792133683333,-0.32425341744195,"COR20e","Rep 4","exposed","ON"
"COR04u_t2_M_ON_20",-0.184826672235439,-0.453648560780888,"COR20u","Rep 4","unexposed","ON"
"COR05e_t2_M_ON_20",0.126621255929186,-0.311116037852754,"COR20e","Rep 5","exposed","ON"
"COR05u_t2_M_ON_20",-0.107579524115662,-0.145848313869886,"COR20u","Rep 5","unexposed","ON"
