"sample","NMDS1","NMDS2","crop","replicate","treatment","province"
"APP01e_t2_M_QC_21",-0.45506066926394,-0.00449053767621571,"APP21e","Rep 1","exposed","QC"
"APP01u_t2_M_QC_21",-0.291617277070846,-0.0251292571806131,"APP21u","Rep 1","unexposed","QC"
"APP02e_t2_M_QC_21",-0.0326472217290584,0.253814989951143,"APP21e","Rep 2","exposed","QC"
"APP02u_t2_M_QC_21",0.201148712106736,0.207501730800696,"APP21u","Rep 2","unexposed","QC"
"APP03e_t2_M_QC_21",-0.382089792765124,-0.0566810874092072,"APP21e","Rep 3","exposed","QC"
"APP03u_t2_M_QC_21",-0.0201840548132469,-0.0045042462725835,"APP21u","Rep 3","unexposed","QC"
"CAC01e_t2_M_AB_20",0.132076555625545,0.0165995093662827,"CAC20e","Rep 1","exposed","AB"
"CAC01u_t2_M_AB_20",0.156479878006997,0.0933464525103076,"CAC20u","Rep 1","unexposed","AB"
"CAC04e_t2_M_AB_20",-0.0569936600980848,0.0903972777983843,"CAC20e","Rep 4","exposed","AB"
"CAC04u_t2_M_AB_20",0.301175951376163,-0.0548568826324353,"CAC20u","Rep 4","unexposed","AB"
"CAC05e_t2_M_AB_20",-0.0405539833461536,0.130998508906016,"CAC20e","Rep 5","exposed","AB"
"CAC05u_t2_M_AB_20",-0.217308480912545,0.172822292638446,"CAC20u","Rep 5","unexposed","AB"
"CAC06e_t2_M_AB_21",0.0720995363369678,-0.0371766186963252,"CAC21e","Rep 6","exposed","AB"
"CAC06u_t2_M_AB_21",-0.162676073390328,0.0284365925691582,"CAC21u","Rep 6","unexposed","AB"
"CAC09e_t2_M_AB_21",0.258506763901623,-0.157899122699072,"CAC21e","Rep 9","exposed","AB"
"CAC09u_t2_M_AB_21",-0.402952659681293,0.168875253633603,"CAC21u","Rep 9","unexposed","AB"
"CAC10e_t2_M_AB_21",0.00208731518804583,-0.129368623257524,"CAC21e","Rep 10","exposed","AB"
"CAC10u_t2_M_AB_21",-0.502094092443344,-0.20711164682847,"CAC21u","Rep 10","unexposed","AB"
"CAS01e_t2_M_AB_20",0.130415978981783,0.162481566133941,"CAS20e","Rep 1","exposed","AB"
"CAS01u_t2_M_AB_20",0.149973683944831,0.243537516281512,"CAS20u","Rep 1","unexposed","AB"
"CAS02e_t2_M_AB_20",0.204951862615268,0.0409469812075778,"CAS20e","Rep 2","exposed","AB"
"CAS02u_t2_M_AB_20",0.0205371563861821,0.0881542640323919,"CAS20u","Rep 2","unexposed","AB"
"CAS03e_t2_M_AB_20",0.383495279095723,-0.0446104664736558,"CAS20e","Rep 3","exposed","AB"
"CAS03u_t2_M_AB_20",-0.0331438066458728,-0.16691470956514,"CAS20u","Rep 3","unexposed","AB"
"CAS04e_t2_M_AB_20",0.0788264028694344,0.0292816570216251,"CAS20e","Rep 4","exposed","AB"
"CAS04u_t2_M_AB_20",-0.128113488868708,-0.121351986110563,"CAS20u","Rep 4","unexposed","AB"
"CAS05e_t2_M_AB_20",0.360903932748083,-0.0825382138089997,"CAS20e","Rep 5","exposed","AB"
"CAS05u_t2_M_AB_20",0.195779814038438,-0.0262898930051583,"CAS20u","Rep 5","unexposed","AB"
"CAS06e_t2_M_AB_21",0.320710074033797,-0.0959669748586512,"CAS21e","Rep 6","exposed","AB"
"CAS06u_t2_M_AB_21",0.288699758346699,-0.018687910637267,"CAS21u","Rep 6","unexposed","AB"
"CAS07e_t2_M_AB_21",0.209665492232354,-0.136007260442227,"CAS21e","Rep 7","exposed","AB"
"CAS07u_t2_M_AB_21",0.155696520618924,-0.065901331330035,"CAS21u","Rep 7","unexposed","AB"
"CAS08e_t2_M_AB_21",0.471652385362329,-0.132773555152627,"CAS21e","Rep 8","exposed","AB"
"CAS08u_t2_M_AB_21",-0.334510997546347,0.0431256591485024,"CAS21u","Rep 8","unexposed","AB"
"CAS09e_t2_M_AB_21",-0.377688825722997,-0.218109172604152,"CAS21e","Rep 9","exposed","AB"
"CAS09u_t2_M_AB_21",0.469972023686473,-0.0882654123231909,"CAS21u","Rep 9","unexposed","AB"
"CAS10e_t2_M_AB_21",0.419656854921773,-0.129060150843324,"CAS21e","Rep 10","exposed","AB"
"CAS10u_t2_M_AB_21",0.187238691220635,-0.0932352407741337,"CAS21u","Rep 10","unexposed","AB"
"CRA04e_t2_M_QC_20",0.33319745791124,0.172351452587131,"CRA20e","Rep 4","exposed","QC"
"CRA04u_t2_M_QC_20",0.0110931680851165,0.138718558968261,"CRA20u","Rep 4","unexposed","QC"
"CRA05e_t2_M_QC_20",0.150856471133917,0.119243911884744,"CRA20e","Rep 5","exposed","QC"
"CRA05u_t2_M_QC_20",0.310786843471359,0.027132030156046,"CRA20u","Rep 5","unexposed","QC"
"LBB01e_t2_M_QC_21",-0.107833228161799,0.240062112472608,"LBB21e","Rep 1","exposed","QC"
"LBB01u_t2_M_QC_21",-0.319067716278231,0.146047974120506,"LBB21u","Rep 1","unexposed","QC"
"LBB02e_t2_M_QC_21",-0.353805103561749,-0.185033267662152,"LBB21e","Rep 2","exposed","QC"
"LBB02u_t2_M_QC_21",-0.390054847818376,0.110749280811494,"LBB21u","Rep 2","unexposed","QC"
"LBB03e_t2_M_QC_21",-0.0744500762792413,-0.180059127600316,"LBB21e","Rep 3","exposed","QC"
"LBB03u_t2_M_QC_21",-0.576931526694675,-0.176413133228765,"LBB21u","Rep 3","unexposed","QC"
"LBB04e_t2_M_QC_21",-0.56016530774408,-0.0188281961922033,"LBB21e","Rep 4","exposed","QC"
"LBB04u_t2_M_QC_21",-0.0834214484099051,0.212348900204103,"LBB21u","Rep 4","unexposed","QC"
"LBB05e_t2_M_QC_21",0.0491661361743659,-0.223803983874215,"LBB21e","Rep 5","exposed","QC"
"LBB05u_t2_M_QC_21",-0.123486361174855,-0.0559064640652587,"LBB21u","Rep 5","unexposed","QC"
