gene_accession,CAS05u_t2_M_AB,CAS04e_t2_M_AB,CAS01e_t2_M_AB,CAS03u_t2_M_AB,CAS02e_t2_M_AB,CAS04u_t2_M_AB,CAS03e_t2_M_AB,CAS05e_t2_M_AB,CAS01u_t2_M_AB,CAS02u_t2_M_AB
MEG_7307/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,444,482,359,426,589,545,607,482,472,503
MEG_6837/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_2067/Metals/Copper_resistance/Copper_resistance_protein/COPP,0,0,0,0,0,2,0,0,6,0
MEG_6508/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/SILR,0,0,0,0,0,0,16,0,0,0
MEG_2803/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,4,4,0,8,0,2,0,14,12,0
MEG_8692/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/SDRM,0,0,0,0,0,0,0,0,38,0
MEG_4206/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORA,0,0,0,12,0,0,0,0,6,12
MEG_283/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,14,0,0,0,0,0,0,0,0,0
MEG_4355/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,12,0,0
MEG_8460/Drugs/betalactams/Penicillin_binding_protein/PBP4/RequiresSNPConfirmation,0,0,0,4,10,0,0,0,12,0
MEG_3514/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNE,2,1,0,0,5,0,8,24,0,0
MEG_4208/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORA,0,0,0,0,0,0,0,0,50,0
MEG_3993/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,472,322,336,502,454,556,380,621,586,545
MEG_3144/Drugs/Fosfomycin/Fosfomycin_target_mutation/GLPT/RequiresSNPConfirmation,14,16,55,0,53,26,174,164,55,8
MEG_1084/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,9,9,2,0,17,22,2,12,27,87
MEG_1643/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/CEOA,0,0,0,0,0,0,0,14,0,0
MEG_6939/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_8146/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,29,0,0,26,65,33,15,0
MEG_3401/Drugs/betalactams/Class_B_betalactamases/IND,0,0,0,0,0,0,0,0,36,0
MEG_185/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,34,0,0,22
MEG_1210/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,0,6,0,0,6,0,24,39,0,0
MEG_3981/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1408,221,457,1066,1104,452,367,394,1567,2537
MEG_4068/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,0,0,0,0,0,38,0,0,30,32
MEG_8230/Drugs/Lipopeptides/Colistin-resistant_mutant/LPSA,0,0,0,0,0,0,0,0,0,20
MEG_2664/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/DPSA,0,0,0,0,0,0,0,0,1,0
MEG_3837/Metals/Mercury_resistance/Mercury_resistance_protein/MERA,0,0,0,0,0,3,0,0,0,0
MEG_2891/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/FBPC,0,0,0,0,0,0,0,0,34,0
MEG_7325/Metals/Tungsten_Resistance/Tungsten_ABC_efflux_pumps/TUPC,0,0,0,0,0,0,0,0,12,0
MEG_3590/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,0,14,0,16,0,0,0
MEG_7976/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/ARNT,0,0,0,0,0,0,62,110,0,0
MEG_491/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,2,0,0
MEG_3722/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/MCR,0,0,0,0,0,0,0,92,0,0
MEG_5409/Drugs/betalactams/Penicillin_binding_protein/PBP4B,0,0,0,0,0,0,25,22,0,0
MEG_2722/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRA,0,0,0,0,0,0,34,51,0,0
MEG_7315/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,92,211,107,139,196,183,195,164,198,275
