gene_accession,SOY05u_t2_M_MB,SOY01u_t2_M_MB,SOY04e_t2_M_MB,SOY03e_t2_M_MB,SOY02u_t2_M_MB,SOY05e_t2_M_MB,SOY02e_t2_M_MB,SOY03u_t2_M_MB,SOY01e_t2_M_MB,SOY04u_t2_M_MB
MEG_2444/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/CUID,0,0,0,0,81,20,29,0,0,9
MEG_4194/Drugs/Metronidazole/nim_nitroimidazole_reductase/NIMJ,0,0,0,10,0,0,0,8,0,0
MEG_3002/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,9,0,0,0,0,0
MEG_4367/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,4,0,0,0,0
MEG_6540/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,40,18,14,13,196,110,23,24,137,89
MEG_3990/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,834,1420,792,850,2754,1276,1102,1959,1123,3079
MEG_6945/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_6549/Biocides/Multi_biocide_resistance/Multi_biocide_resistance_regulator/SOXRB,0,0,4,4,22,36,5,2,65,11
MEG_7533/Drugs/Glycopeptides/VanL_type_resistance_protein/VANTML,0,0,0,18,0,0,0,44,0,28
MEG_5287/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,2,0,0,0,0,0
MEG_3221/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,65
MEG_3226/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,82,0,0,22,0,0
MEG_3028/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSX,34,20,0,0,22,0,14,52,0,76
MEG_8272/Drugs/Metronidazole/nim_nitroimidazole_reductase/NIMK,0,0,0,0,44,0,0,26,8,46
MEG_7332/Drugs/Glycopeptides/VanA_type_resistance_protein/VAN,0,0,0,0,0,0,0,6,0,0
MEG_1559/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CAT,0,0,0,0,0,9,0,0,0,0
MEG_5897/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,5,0,0,0,0
MEG_985/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT4_PRIME,0,0,0,0,0,0,0,10,0,0
MEG_5801/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/PMRF,15,6,0,8,189,107,0,34,0,93
MEG_8657/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRE,0,0,0,0,6,0,0,0,0,0
MEG_5389/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,170,0,0,0,0,0
MEG_3993/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,214,352,201,264,894,270,279,474,325,818
MEG_2870/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/EVGS,0,0,0,0,66,205,0,0,0,0
MEG_7821/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFEA,24,0,28,18,0,8,12,57,20,58
MEG_6956/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERB,0,0,12,0,0,10,10,0,4,4
MEG_7824/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFEB,31,93,78,39,92,80,82,145,69,261
MEG_1800/Drugs/betalactams/Class_C_betalactamases/CMY,0,8,0,2,11,8,12,3,0,44
MEG_280/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,0,0,0,22
MEG_6884/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,4,4,0,4
MEG_7515/Drugs/Glycopeptides/VanM_type_regulator/VANSM,0,0,0,0,58,0,0,126,0,0
MEG_2430/Drugs/betalactams/Class_A_betalactamases/CTX,82,0,0,0,83,602,6,0,790,15
MEG_5140/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,14,0,0,0
MEG_2124/Metals/Copper_resistance/Copper_resistance_protein/CRDA,14,16,0,40,20,14,0,32,0,58
MEG_7019/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,6,31,4,12,8,7,4,10,0,10
MEG_3201/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,43,64,54,37,468,282,57,100,222,287
MEG_1731/Drugs/Lipopeptides/Daptomycin_resistant_mutant/CLS/RequiresSNPConfirmation,0,0,0,0,74,0,0,0,22,54
MEG_6773/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_7124/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,49,74,33,50,122,68,49,79,100,134
MEG_4409/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,7,8
MEG_1322/Drugs/betalactams/Class_A_betalactamases/BLAZ,0,0,0,0,0,0,0,0,18,0
MEG_4164/Metals/Sodium_resistance/Sodium_resistance_protein/NHAB,16,0,0,14,92,98,6,24,0,31
MEG_2737/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRY,0,0,0,0,56,59,20,0,0,0
MEG_3586/Drugs/Lipopeptides/Daptomycin_resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,0,48,0,0,0,0,40
MEG_1245/Drugs/betalactams/Class_A_betalactamases/BLAA,0,0,0,0,24,0,0,42,30,64
MEG_733/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/AMVA,0,0,0,0,0,0,0,0,44,0
MEG_2623/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,0,12,0,0,0,0,12
MEG_1093/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,0,0,0,0,28,0,0,0,0,0
MEG_5211/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,1,0,0,0
MEG_6930/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_6923/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_5328/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,100,98,126,130,113,144,232,192,339
MEG_2662/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/DPR,0,0,0,0,0,0,0,0,0,26
MEG_6101/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,66,86,72,72,128,72,107,129,168,241
MEG_5830/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACEDELTA1,0,4,0,0,0,0,0,0,0,6
MEG_6145/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RRSA/RequiresSNPConfirmation,901,1320,626,821,2462,1250,1116,1564,1249,2849
MEG_7636/Drugs/betalactams/Class_A_betalactamases/VCC,0,0,0,0,0,0,0,0,0,82
MEG_1603/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,0,0,8,0,6
MEG_3009/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,0,0,0,0,0,20
MEG_2894/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/FECD,0,0,0,0,12,39,0,0,0,0
MEG_6097/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,172,243,168,146,286,262,193,414,325,627
MEG_5996/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,0,0,0,0,1
MEG_7199/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETS,0,0,0,0,0,0,0,0,0,36
MEG_4254/Drugs/betalactams/Class_A_betalactamases/OKP,0,0,0,0,0,2,0,0,0,0
MEG_407/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,0,18,0,255,196,29,0,106,91
MEG_790/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,0,0,2,0
MEG_6141/Biocides/Multi_biocide_resistance/Multi_biocide_resistance_regulator/RPOS,8,0,28,14,451,224,21,38,289,96
MEG_2701/Biocides/Acid_resistance/Acid_resistance_protein/EEFA,13,12,13,24,380,168,14,63,0,57
MEG_7302/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,143,182,137,106,472,440,194,291,837,501
MEG_4363/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,16,0,0,0,0,0
MEG_6507/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILP,46,0,34,0,46,197,0,0,0,0
