gene_accession,CAC10u_t2_M_AB,CAC09e_t2_M_AB,CAC10e_t2_M_AB,CAC08e_t2_M_MB,CAC08u_t2_M_MB,CAC07e_t2_M_MB,CAC06u_t2_M_AB,CAC09u_t2_M_AB,CAC07u_t2_M_MB,CAC06e_t2_M_AB
MEG_2440/Metals/Copper_resistance/Copper_resistance_protein/CUEO,0,26,34,40,0,39,0,0,39,54
MEG_4358/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,4,0,0,0,0,0,0
MEG_8679/Drugs/Oxazolidinone/Oxazolidinone-resistant_23S_rRNA_mutation/RRL/RequiresSNPConfirmation,208,186,383,313,300,212,360,209,324,331
MEG_7831/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YGIW,0,0,2,0,0,0,0,0,8,0
MEG_6620/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,2,2,0,1,0,0,0,0,0,0
MEG_7107/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,13,11,13,20,29,23,8,19,37,4
MEG_4748/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,50,56,0,20,38
MEG_5353/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,24,2,0,22,0,17,38
MEG_4012/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,0,8,0,14,0,4,0,0,0,0
MEG_7026/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,3,4,0,0,0,0,0
MEG_8287/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,0,0,2,0,0,0,0,0,0
MEG_1218/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/BCRCM,4,0,0,0,0,18,0,0,0,0
MEG_998/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,0,0,0,0,0,0,0,18
MEG_3144/Drugs/Fosfomycin/Fosfomycin_target_mutation/GLPT/RequiresSNPConfirmation,0,9,29,42,0,25,5,11,41,56
MEG_3662/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MARA,0,6,7,3,0,0,0,0,2,0
MEG_5389/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,22,0,0,0,0,0,0,0,0,0
MEG_8450/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,21,0,0,18,0,0,0,0
MEG_2450/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSC,0,2,0,9,0,0,0,0,9,0
MEG_7174/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,6,0,10,8,10,6,0,4,2,0
MEG_7204/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_regulator/TETU,0,0,6,0,0,0,0,0,8,6
MEG_3987/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,153,108,167,208,146,246,112,277,172,258
MEG_7212/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,10,24,34,29,39,22,10,32,28,12
MEG_3737/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,0,8,8,8,0,2,0,0,3,8
MEG_1747/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/CMER,0,0,0,0,0,0,16,0,0,0
MEG_2087/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,0,9,6,4,0,14,0,0,26,14
MEG_2689/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBB,0,0,0,3,0,0,0,0,0,0
MEG_3981/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1424,848,1422,172,714,1719,2923,589,1890,3589
MEG_2833/Drugs/MLS/23S_rRNA_methyltransferases/ERMF,0,0,0,0,0,0,0,20,0,0
MEG_7223/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,3,13,18,30,25,12,4,11,32,8
MEG_7317/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,232,272,247,160,310,407,285,276,253,376
MEG_4000/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MNTR,0,8,7,0,0,0,0,0,7,11
MEG_406/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,24,0,18,0,20,0,0,44,40
MEG_6881/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,2,0,4,0,2,0,0
MEG_1171/Metals/Arsenic_resistance/Arsenic_resistance_regulator/ARSR,0,0,0,0,0,0,0,0,2,1
MEG_6015/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRE,0,0,0,4,0,0,0,0,0,0
MEG_3196/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,34,0,0,0,198,0,47,0,286
MEG_6540/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,0,0,14,18,4,8,3,0,18,14
MEG_8073/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,0,0,50,0,0,0,0
MEG_5786/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_regulator/PHOR,0,42,14,4,0,0,0,0,31,0
MEG_7231/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,4,2,13,0,9,0,2,4,0,0
MEG_6611/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,4,3,0,0,0,0,0,0,0
MEG_915/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,8,3,0,0,5,0
MEG_7117/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,4,12,26,16,35,26,13,8,32,10
MEG_8710/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_4335/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,0,0,0,2,0
MEG_4172/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKD,0,0,0,5,0,0,0,0,4,0
MEG_407/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,34,12,15,0,26,0,0,32,37
MEG_8143/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GRLB/RequiresSNPConfirmation,0,0,0,11,0,10,0,0,0,0
MEG_5368/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,56,90,56,79,67,72,0,0,0
MEG_913/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,4,0,0,0,0,0
MEG_6958/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERD,0,6,0,0,0,10,0,0,0,0
MEG_6766/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_6160/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,3,2,0,0,2,0
MEG_466/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,2,0,0,0,0
MEG_2804/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,6,2,0,2,0,0,4,2
MEG_5391/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,12,0,0,0
MEG_5828/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACE,0,3,0,0,0,0,0,0,0,0
MEG_3979/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,343,370,624,282,637,461,645,470,494,403
MEG_6164/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,0,0,0,0,0,10
MEG_3764/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTO,0,12,0,26,0,15,0,0,39,0
MEG_1087/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,9,22,7,2,11,11,4,20,3,4
