gene_accession,HBB06e_t2_M_BC,HBB06u_t2_M_BC,HBB07u_t2_M_BC,HBB07e_t2_M_BC,HBB10e_t2_M_BC,HBB08e_t2_M_BC,HBB09e_t2_M_BC,HBB08u_t2_M_BC,HBB09u_t2_M_BC,HBB10u_t2_M_BC
MEG_4175/Metals/Nickel_resistance/Nickel_ABC_efflux_regulator/NIKR,0,2,0,0,0,0,0,0,0,0
MEG_8250/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,595,890,522,512,652,597,586,660,1024,1207
MEG_5372/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,38,0,0,0,0,0,0,0,0
MEG_7237/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,6,0,2,4,0,0,0,2,4,2
MEG_3999/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MNTP,0,0,11,0,4,0,0,0,0,4
MEG_2771/Drugs/MLS/23S_rRNA_methyltransferases/ERM,44,0,0,30,42,0,0,0,0,0
MEG_3206/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,168,171,215,226,152,212,119,178,335,266
MEG_7856/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUA,0,2,0,2,14,2,19,0,0,15
MEG_6664/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,8,2
MEG_7120/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,4,7,5,30,31,15,4,17,21,24
MEG_8151/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,42,33,52,19,69,37,41,42,47,76
MEG_3224/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,45,77,46,0,62,57,0,90,133,0
MEG_7200/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETS,0,0,10,0,24,16,0,7,0,0
MEG_3290/Biocides/Acetate_resistance/Acetate_resistance_protein/ICLR,0,0,4,0,10,0,0,0,2,0
MEG_6740/Drugs/betalactams/Class_A_betalactamases/TEM,4,0,0,0,0,0,6,0,12,6
MEG_2677/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,0,0,0,0,0,2,0
MEG_3065/Drugs/Fusidic_acid/Fusidic_acid-resistant_mutation/FUSA/RequiresSNPConfirmation,374,493,574,708,886,824,521,522,834,813
MEG_6660/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_3007/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,22,0,0,18,20,0,0,10,0
MEG_6576/Biocides/Multi-biocide_resistance/Multi-biocide_SMR_efflux_pump/SUGE,0,0,0,0,2,0,0,0,0,0
MEG_6871/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_8650/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,0,0,0,0,0,11,0,0,15,0
MEG_2797/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,17,13,17,52,55,23,14,33,33,56
MEG_8249/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,10436,12939,19262,10277,16586,14691,10988,15445,17280,21908
MEG_8651/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACL,0,0,0,5,0,0,0,0,3,0
MEG_2445/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/CUID,0,0,0,0,10,0,0,0,0,0
MEG_7092/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,40,0,0,0,0,0,0,7,8,0
