gene_accession,CRA02e_t2_M_BC,CRA01u_t2_M_BC,CRA05e_t2_M_QC,CRA01e_t2_M_BC,CRA04u_t2_M_QC,CRA03u_t2_M_BC,CRA03e_t2_M_BC,CRA02u_t2_M_BC,CRA04e_t2_M_QC,CRA05u_t2_M_QC
MEG_6156/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/SALA,100,74,124,76,72,100,48,0,114,0
MEG_6760/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_968/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,4,12,0,0
MEG_3242/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,481,438,666,534,470,599,367,584,638,868
MEG_6164/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,0,0,0,0,0,12
MEG_7471/Drugs/Glycopeptides/VanC-type_regulator/VANRC,64,0,48,0,48,0,30,28,68,0
MEG_2121/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,4,7,5,0,52,24,0,17,53
MEG_6636/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,14,17,15,8,8,4,8,21,20,4
MEG_7224/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,9,31,20,32,13,20,30,103,6,44
MEG_5809/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/POXT,0,0,0,0,0,0,0,0,36,0
MEG_1412/Drugs/betalactams/Class_A_betalactamases/BLAZ,0,0,0,0,0,0,0,0,22,0
MEG_6675/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,2,0
MEG_4217/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/NREB,0,0,0,0,0,0,0,0,92,0
MEG_8691/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/SALE,0,0,0,0,0,0,0,0,78,0
