gene_accession,HBB04e_t2_M_BC,HBB05e_t2_M_BC,HBB03e_t2_M_BC,HBB04u_t2_M_BC,HBB03u_t2_M_BC,HBB02u_t2_M_BC,HBB02e_t2_M_BC,HBB01u_t2_M_BC,HBB01e_t2_M_BC,HBB05u_t2_M_BC
MEG_2144/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,3,0,3,0,0,0,18,0
MEG_6797/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_7588/Drugs/Glycopeptides/VanG-type_resistance_protein/VANXYG,0,0,0,0,0,0,0,22,0,0
MEG_3828/Drugs/MLS/MLS_resistance_MFS_efflux_pumps/MEFC,50,0,0,0,0,0,0,0,0,0
MEG_8676/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RPSE/RequiresSNPConfirmation,18,0,26,0,26,22,0,0,0,10
MEG_7557/Drugs/Glycopeptides/VanA-type_resistance_protein/VANXA,0,0,0,6,0,0,0,0,0,0
MEG_6625/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,13,28,17,79,46,10,23,21,10,9
MEG_7820/Biocides/Acid_resistance/Acid_resistance_protein/YDEP,10,2,0,0,0,0,0,0,0,0
MEG_2786/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,0,0,0,16,0,0,10
MEG_7307/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,624,649,275,472,437,537,369,438,529,758
MEG_6926/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_3644/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/LSA,0,0,14,0,0,0,0,0,0,0
MEG_6099/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,98,69,77,76,99,77,44,62,237,73
MEG_2848/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,23,28,6,33,35,23,21,8,25,19
MEG_7235/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,10,12,2,11,6,4,6,2,0,7
MEG_1488/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/CADX,28,18,64,0,50,48,0,66,98,56
MEG_1182/Biocides/Acid_resistance/Acid_resistance_protein/ASR,10,8,0,0,0,14,0,16,0,0
MEG_7851/Metals/Zinc_resistance/Zinc_resistance_protein/ZITB,5,0,0,0,0,0,0,0,0,0
MEG_209/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,12,0,0,0,0,16,0,0
MEG_8251/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1875,1727,792,857,1286,1649,1088,1442,1377,1966
MEG_6173/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEB,86,0,0,0,0,0,34,0,0,0
MEG_8690/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/SALD,78,0,102,0,92,92,0,118,172,114
MEG_1053/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,20,32,7,7,8,4,3,6,5,51
MEG_7182/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETQ,18,0,0,0,0,0,0,0,0,0
MEG_8250/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1660,1826,672,733,1183,1399,963,1310,1378,1637
MEG_6743/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_3657/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/MACA,0,0,0,16,0,0,0,32,0,0
MEG_7982/Drugs/betalactams/Class_B_betalactamases/BLAB,0,0,0,0,0,0,0,0,0,26
MEG_6724/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,6
MEG_6757/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,8
MEG_6174/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEX,10,0,0,0,8,0,0,0,0,0
