gene_accession,APP01u_t2_M_QC,APP05e_t2_M_BC,APP02u_t2_M_QC,APP03u_t2_M_QC,APP03e_t2_M_QC,APP02e_t2_M_QC,APP05u_t2_M_BC,APP04u_t2_M_BC,APP04e_t2_M_BC,APP01e_t2_M_QC
MEG_7849/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ZINT,0,0,0,52,0,0,34,10,0,0
MEG_3315/Drugs/betalactams/Class_B_betalactamases/IMP,0,0,0,0,0,0,8,0,0,0
MEG_7306/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,137,147,157,149,148,75,64,73,149,121
MEG_5782/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_regulator/PHOB/RequiresSNPConfirmation,0,0,0,4,0,0,0,0,0,0
MEG_6837/Drugs/betalactams/Class_A_betalactamases/TEM,0,6,0,0,0,0,0,0,0,0
MEG_8671/Drugs/MLS/Macrolide_resistant_50S_rRNA_mutation/RPLD/RequiresSNPConfirmation,128,176,208,228,195,63,176,86,273,124
MEG_2937/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,52,0,0,36,64,106,0
MEG_3946/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/MGTA,0,0,0,24,0,0,0,0,0,0
MEG_2659/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/DPR,0,0,26,0,0,0,28,0,0,0
MEG_7084/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,57,12,53,182,134,27,77,89,36,35
MEG_7128/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,44,102,95,126,114,86,69,53,205,99
MEG_8451/Drugs/Multi_drug_resistance/MDR_regulator/PARR,0,0,1,0,0,0,0,0,0,0
MEG_6872/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_502/Metals/Tellurium_resistance/Tellurium_resistance_protein/ACTP1,12,0,0,0,0,0,0,0,0,0
MEG_1551/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CAT,0,0,0,0,0,0,0,18,0,0
MEG_8449/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,10,0
MEG_6638/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,43,4,16,41,12,12,8,39,33,5
MEG_6860/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_7452/Drugs/Glycopeptides/VanA_type_regulator/VANRA,0,0,0,0,0,0,28,0,0,0
MEG_7118/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,120,191,99,210,214,86,109,79,338,151
MEG_8153/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,0,201,0,87,0,0,0,154
